year,opex_specific_fixed
2022,340844.5188408452
2023,340844.5188408452
2024,340844.5188408452
2025,340844.5188408452
2026,340844.5188408452
2027,340844.5188408452
2028,340844.5188408452
2029,340844.5188408452
2030,340844.5188408452
2031,340844.5188408452
2032,340844.5188408452
2033,340844.5188408452
2034,340844.5188408452
2035,340844.5188408452
2036,340844.5188408452
2037,340844.5188408452
2038,340844.5188408452
2039,340844.5188408452
2040,340844.5188408452
2041,340844.5188408452
2042,340844.5188408452
2043,340844.5188408452
2044,340844.5188408452
2045,340844.5188408452
2046,340844.5188408452
2047,340844.5188408452
2048,340844.5188408452
2049,340844.5188408452
2050,340844.5188408452
