year,capex_specific
2022,3120.406217165842
2023,3099.55151793144
2024,3078.696818697037
2025,3057.8421194626344
2026,3036.4661559435326
2027,3015.090192424431
2028,2993.7142289053295
2029,2972.3382653862277
2030,2950.962301867126
2031,2935.1246707420346
2032,2919.2870396169433
2033,2903.4494084918515
2034,2887.61177736676
2035,2871.774146241669
2036,2854.1459844936253
2037,2836.5178227455817
2038,2818.889660997538
2039,2801.2614992494946
2040,2783.633337501451
2041,2767.3632373167784
2042,2751.0931371321058
2043,2734.8230369474327
2044,2718.55293676276
2045,2702.2828365780874
2046,2686.1269986305506
2047,2669.971160683014
2048,2653.8153227354774
2049,2637.659484787941
2050,2621.503646840404
