year,opex_specific_fixed
2022,96.97052973393272
2023,96.41695968067157
2024,95.86338962741043
2025,95.30981957414929
2026,94.7374298034761
2027,94.16504003280292
2028,93.59265026212974
2029,93.02026049145655
2030,92.44787072078337
2031,92.15947196835556
2032,91.87107321592775
2033,91.58267446349996
2034,91.29427571107215
2035,91.00587695864434
2036,90.67005046054905
2037,90.33422396245376
2038,89.99839746435846
2039,89.66257096626317
2040,89.32674446816789
2041,88.9571015853665
2042,88.58745870256512
2043,88.21781581976373
2044,87.84817293696234
2045,87.47853005416096
2046,87.11191376037895
2047,86.74529746659694
2048,86.37868117281494
2049,86.01206487903292
2050,85.64544858525092
