year,opex_specific_variable
2022,1.0
2023,0.9998330079675302
2024,0.9996660159350602
2025,0.9994990239025906
2026,0.9990608755424613
2027,0.9986227271823319
2028,0.9981845788222024
2029,0.997746430462073
2030,0.9973082821019437
2031,0.9964811219776111
2032,0.9956539618532784
2033,0.9948268017289458
2034,0.9939996416046132
2035,0.9931724814802806
2036,0.9914139057141458
2037,0.9896553299480111
2038,0.9878967541818763
2039,0.9861381784157416
2040,0.9843796026496068
2041,0.9816525401346243
2042,0.9789254776196418
2043,0.9761984151046593
2044,0.9734713525896769
2045,0.9707442900746944
2046,0.9680766656020282
2047,0.9654090411293622
2048,0.9627414166566962
2049,0.9600737921840302
2050,0.957406167711364
