node,year_construction,capacity_existing
AT,1993,0.0630007564645296
AT,1994,0.13382881893950532
AT,1995,0.035965705316392725
AT,1996,0.035965705316392725
AT,1997,0.17170619663423217
AT,1998,0.0427180959893954
AT,1999,0.035965705316392725
AT,2000,0.098752946767133
AT,2001,0.035965705316392725
AT,2002,0.12070478164440152
AT,2003,0.035965705316392725
AT,2004,0.035965705316392725
AT,2005,0.19452457922851474
AT,2006,0.06162593248122849
AT,2007,0.19672611395961212
AT,2008,0.03927423648175164
AT,2009,0.05837886826340551
AT,2010,0.035965705316392725
AT,2011,0.16936148281963712
AT,2012,0.06336660762563498
AT,2013,0.035965705316392725
AT,2014,0.21292491027590657
AT,2015,0.035965705316392725
AT,2016,0.05147403117578595
AT,2017,0.05529169275860847
AT,2018,0.23072781351732588
AT,2019,0.04555784457969977
AT,2020,0.05514183042774305
AT,2022,0.041918878098200565
BE,1993,0.06320903379605998
BE,1994,0.03229632279152727
BE,1995,0.004065040983955277
BE,1996,0.004065040983955277
BE,1997,0.09017846153595117
BE,1998,0.04163147156319188
BE,1999,0.064220187758417
BE,2000,0.0648502327091405
BE,2001,0.004065040983955277
BE,2002,0.08291713630785091
BE,2003,0.004065040983955277
BE,2004,0.0548957068057211
BE,2005,0.04104379539083924
BE,2006,0.08792601046600981
BE,2007,0.14082087089274556
BE,2008,0.004065040983955277
BE,2009,0.09174242306961189
BE,2010,0.004065040983955277
BE,2011,0.2294295437527678
BE,2012,0.004065040983955277
BE,2013,0.004065040983955277
BE,2014,0.2614069341412276
BE,2015,0.004065040983955277
BE,2016,0.009110774153648823
BE,2017,0.02096611022961418
BE,2018,0.04192225282344568
BE,2019,0.06154106950604853
BE,2020,0.004065040983955277
BE,2022,0.018677086534489358
BG,1993,0.0639590336743942
BG,1994,0.05952151855718196
BG,1995,0.25818010786397655
BG,1996,0.013648066155999507
BG,1997,0.1315284229396174
BG,1998,0.013648066155999507
BG,1999,0.11506396079135328
BG,2000,0.15116393256515956
BG,2001,0.034706224255561774
BG,2002,0.013648066155999507
BG,2003,0.013648066155999507
BG,2004,0.08065875500327474
BG,2005,0.029486953109162602
BG,2006,0.046798616717414726
BG,2007,0.17522310643873557
BG,2008,0.18627076534276893
BG,2009,0.07293594445309848
BG,2010,0.013648066155999507
BG,2011,0.013648066155999507
BG,2012,0.022759212645585572
BG,2013,0.1278970220655018
BG,2014,0.10576305264768349
BG,2015,0.07564840127677844
BG,2016,0.013648066155999507
BG,2017,0.022788050721369243
BG,2018,0.02658157351484734
BG,2019,0.10885154086184973
BG,2020,0.013648066155999507
BG,2021,0.20379117276794095
CH,1993,0.08536057239166198
CH,1994,0.18132646698628177
CH,1995,0.04873041792768976
CH,1996,0.04873041792768976
CH,1997,0.23264703553433416
CH,1998,0.05787932288066623
CH,1999,0.04873041792768976
CH,2000,0.1338016959550604
CH,2001,0.04873041792768976
CH,2002,0.16354453231649224
CH,2003,0.04873041792768976
CH,2004,0.04873041792768976
CH,2005,0.2635639690539585
CH,2006,0.08349780488317297
CH,2007,0.2665468580751785
CH,2008,0.05321319130850933
CH,2009,0.07909831389639563
CH,2010,0.04873041792768976
CH,2011,0.22947015124690262
CH,2012,0.08585626905110945
CH,2013,0.04873041792768976
CH,2014,0.2884948251030562
CH,2015,0.04873041792768976
CH,2016,0.06974285724561378
CH,2017,0.07491545827764798
CH,2018,0.31261621818151114
CH,2019,0.061726936444692126
CH,2020,0.07471240778967757
CH,2022,0.05679645180916677
CZ,1993,0.13241066806675855
CZ,1994,0.14632970492993566
CZ,1995,0.15292769818864965
CZ,1996,0.2835159625395347
CZ,1997,0.01823591060640107
CZ,1998,0.01823591060640107
CZ,1999,0.01823591060640107
CZ,2000,0.11086052936323511
CZ,2001,0.01823591060640107
CZ,2002,0.0783884330636829
CZ,2003,0.024420611230222093
CZ,2004,0.01823591060640107
CZ,2005,0.17263042047339536
CZ,2006,0.10930790085130397
CZ,2007,0.14161860797155565
CZ,2008,0.01823591060640107
CZ,2009,0.026755710548581137
CZ,2010,0.01823591060640107
CZ,2011,0.10201767529806716
CZ,2012,0.023355039081953608
CZ,2013,0.04004176619272976
CZ,2014,0.1912811356605752
CZ,2015,0.028126469086110235
CZ,2016,0.0869548405418202
CZ,2017,0.09668641373726405
CZ,2018,0.2532870078258892
CZ,2019,0.15378426072528598
CZ,2020,0.01823591060640107
CZ,2021,0.0941469994729112
CZ,2022,0.4461980743062098
DE,1993,0.11304329434245042
DE,1994,0.4098580021092977
DE,1995,0.11304329434245042
DE,1996,0.11304329434245042
DE,1997,0.45741683973979463
DE,1998,0.46044875163593757
DE,1999,0.9354708998356078
DE,2000,0.8476372154943602
DE,2001,0.11304329434245042
DE,2002,1.0872701773989764
DE,2003,0.45798563976143747
DE,2004,0.5061128044762946
DE,2005,0.2747755934099246
DE,2006,0.11304329434245042
DE,2007,2.3639609433808793
DE,2008,0.11304329434245042
DE,2009,1.0961921104671006
DE,2010,0.11304329434245042
DE,2011,1.002479746896018
DE,2012,0.11304329434245042
DE,2013,0.11304329434245042
DE,2014,0.7891482333222158
DE,2015,0.11558361284290282
DE,2016,0.11304329434245042
DE,2017,0.2648284149178003
DE,2018,0.11304329434245042
DE,2019,0.11304329434245042
DE,2020,0.2857276879681283
DE,2022,0.42939833964324237
DK,1993,0.0048618347555882
DK,1994,0.018312581335440607
DK,1995,0.0048618347555882
DK,1996,0.0048618347555882
DK,1997,0.02112382155052823
DK,1998,0.00870417831844347
DK,1999,0.014197004279587977
DK,2000,0.01785454731710285
DK,2001,0.0048618347555882
DK,2002,0.010835577314982596
DK,2003,0.0048618347555882
DK,2004,0.009472002702030916
DK,2005,0.007522221058291378
DK,2006,0.013946703765505393
DK,2007,0.010944090322847086
DK,2008,0.008855641472267962
DK,2009,0.0048618347555882
DK,2010,0.0048618347555882
DK,2011,0.0361795334688839
DK,2012,0.009087604813511993
DK,2013,0.009032173424028483
DK,2014,0.03674968783233859
DK,2015,0.0048618347555882
DK,2016,0.008002896980995818
DK,2017,0.00936397140010629
DK,2018,0.01754384934938174
DK,2019,0.03368608458683041
DK,2020,0.030677563984056563
DK,2022,0.014868282654198811
EE,1993,0.05430290775793295
EE,1994,0.0017979663813888216
EE,1995,0.0017979663813888216
EE,1996,0.0017979663813888216
EE,1997,0.0021733099474467387
EE,1998,0.04758214711639365
EE,1999,0.0017979663813888216
EE,2000,0.022137807404240994
EE,2001,0.00243574714200591
EE,2002,0.012828174833120444
EE,2003,0.0017979663813888216
EE,2004,0.013630357220846382
EE,2005,0.013024960614804215
EE,2006,0.029806379832114337
EE,2007,0.004280347052550094
EE,2008,0.021195204361330974
EE,2009,0.004668932078894634
EE,2010,0.0017979663813888216
EE,2011,0.00872254812380445
EE,2012,0.004076249794651455
EE,2013,0.004091304725318747
EE,2014,0.009783437097417112
EE,2015,0.008727513491536418
EE,2016,0.0022898312785466267
EE,2017,0.0017979663813888216
EE,2018,0.01007298551123916
EE,2019,0.01631747690555757
EE,2020,0.0017979663813888216
EE,2022,0.03540002889675783
EL,2004,0.051715653856300614
EL,2006,0.03399881541307859
EL,2007,0.07716133874381292
EL,2008,0.056749271621399755
EL,2009,0.11162939797345539
EL,2010,0.04199167835991524
EL,2012,0.19807425996394423
EL,2013,0.3149204270691004
EL,2014,1.0580554326688336
EL,2016,0.29325011257017364
EL,2017,0.17657468483611893
ES,1993,0.10236648927755679
ES,1994,0.11179352754820927
ES,1995,0.24721097757755411
ES,1996,0.0547519379199937
ES,1997,0.19209728330945874
ES,1998,0.09295865887382578
ES,1999,0.060958469189209094
ES,2000,0.0422128986541957
ES,2001,0.16531442047791475
ES,2002,0.05332768998655095
ES,2003,0.0422128986541957
ES,2004,0.0422128986541957
ES,2005,0.13811648509294452
ES,2006,0.1660960208411697
ES,2007,0.20039022865336403
ES,2008,0.2650379696220629
ES,2009,0.05711433558221212
ES,2010,0.0422128986541957
ES,2011,0.1741591007089714
ES,2012,0.0422128986541957
ES,2013,0.0422128986541957
ES,2014,0.25269639778978176
ES,2015,0.06564469898211481
ES,2016,0.20260122860132193
ES,2017,0.1550631067322348
ES,2018,0.0422128986541957
ES,2019,0.21392414991267936
ES,2020,0.0422128986541957
FI,1993,0.10358911192421744
FI,1994,0.04453256687150967
FI,1995,0.033396051611442226
FI,1996,0.03404462875874813
FI,1997,0.08570252527795635
FI,1998,0.03944893667396804
FI,1999,0.1339591006794125
FI,2000,0.10169576263745772
FI,2001,0.033396051611442226
FI,2002,0.062257172055603334
FI,2003,0.033396051611442226
FI,2004,0.10423053226535452
FI,2005,0.08245732298369926
FI,2006,0.06264816180178209
FI,2007,0.033396051611442226
FI,2008,0.07535409447047625
FI,2009,0.033396051611442226
FI,2010,0.033396051611442226
FI,2011,0.15910491720210296
FI,2012,0.033396051611442226
FI,2013,0.06264511896364168
FI,2014,0.033396051611442226
FI,2015,0.08342800595174871
FI,2016,0.033396051611442226
FI,2017,0.2759745401540628
FI,2018,0.09560464938470603
FI,2019,0.033396051611442226
FI,2020,0.04203109187745826
FI,2021,0.033198606559464425
FI,2022,0.011408775359905456
FR,1993,0.9492434251901181
FR,1994,1.6633771354599187
FR,1995,0.6236475380494
FR,1996,0.4409166263433047
FR,1997,1.1355967700851504
FR,1998,0.4409166263433047
FR,1999,0.7402724094079083
FR,2000,0.9035069057040085
FR,2001,0.4409166263433047
FR,2002,1.0840042800309357
FR,2003,0.6675112594320574
FR,2004,0.4409166263433047
FR,2005,0.769105744593772
FR,2006,1.9675821746007216
FR,2007,2.8085046686947908
FR,2008,0.4409166263433047
FR,2009,0.44959708802561904
FR,2010,1.683945741650912
FR,2011,0.4409166263433047
FR,2012,1.4405339211153807
FR,2013,0.8411630192465022
FR,2014,0.8501743424943576
FR,2015,0.8185785824342057
FR,2016,1.3394442290315216
FR,2017,0.4409166263433047
FR,2018,0.9491887420280185
FR,2019,0.9577686057392434
FR,2020,0.4409166263433047
FR,2022,0.5611095518343
HR,1993,0.004587583552619078
HR,1994,0.03851212658510681
HR,1995,0.009490775006539033
HR,1996,0.004587583552619078
HR,1997,0.046214860078834165
HR,1998,0.004587583552619078
HR,1999,0.023333575731360728
HR,2000,0.04381334534847019
HR,2001,0.004587583552619078
HR,2002,0.042039127216230786
HR,2003,0.004587583552619078
HR,2004,0.04524607309119087
HR,2005,0.017981985129541373
HR,2006,0.063444848586605
HR,2007,0.04376484132150585
HR,2008,0.028433184455186188
HR,2009,0.004587583552619078
HR,2010,0.004587583552619078
HR,2011,0.05714407018306738
HR,2012,0.03658331307775977
HR,2013,0.004587583552619078
HR,2014,0.03141045244835447
HR,2015,0.012337935657096396
HR,2016,0.004587583552619078
HR,2017,0.04957030042862056
HR,2018,0.03962918071585281
HR,2019,0.025213929530456754
HR,2020,0.004587583552619078
HR,2022,0.0138019981763162
HU,1993,0.012556491174314146
HU,1994,0.05615092209500523
HU,1995,0.012556491174314146
HU,1996,0.012556491174314146
HU,1997,0.10078358647401338
HU,1998,0.11143037640691822
HU,1999,0.012556491174314146
HU,2000,0.06259906342180095
HU,2001,0.012556491174314146
HU,2002,0.06454942680632215
HU,2003,0.012556491174314146
HU,2004,0.06121655875238964
HU,2005,0.012556491174314146
HU,2006,0.1723467112626452
HU,2007,0.27568941454931634
HU,2008,0.05805849629560246
HU,2009,0.012556491174314146
HU,2010,0.012556491174314146
HU,2011,0.06053642943104084
HU,2012,0.012556491174314146
HU,2013,0.012556491174314146
HU,2014,0.20959345614158267
HU,2015,0.012556491174314146
HU,2016,0.012556491174314146
HU,2017,0.02461580635834394
HU,2018,0.15740128197171968
HU,2019,0.07012254949752796
HU,2020,0.012556491174314146
HU,2021,0.025781074213437154
HU,2022,0.23186877723157592
IE,1993,0.016528074162633535
IE,1994,0.011428159203736828
IE,1995,0.02318287569732768
IE,1996,0.03986138751006301
IE,1997,0.04042138900671967
IE,1998,0.011428159203736828
IE,1999,0.045475102447967805
IE,2000,0.04200846530254391
IE,2001,0.02400493481994463
IE,2002,0.04166098216361146
IE,2003,0.032444047208817814
IE,2004,0.024777509518592214
IE,2005,0.026407738340154873
IE,2006,0.07625915988126557
IE,2007,0.04300679920832286
IE,2008,0.011428159203736828
IE,2009,0.03236060992691039
IE,2010,0.011428159203736828
IE,2011,0.10296589337236378
IE,2012,0.032673307061081236
IE,2013,0.025299207268163797
IE,2014,0.08793785791109325
IE,2015,0.01488810187239436
IE,2016,0.011428159203736828
IE,2017,0.03452407512189539
IE,2018,0.030202475673435623
IE,2019,0.057161610076078465
IE,2020,0.011428159203736828
IE,2021,0.02507857689053255
IE,2022,0.053115621845359846
IT,1993,0.07397902781059452
IT,1994,0.6512803033082004
IT,1995,0.026704928311925166
IT,1996,0.026704928311925166
IT,1997,0.3326326423703432
IT,1998,0.026704928311925166
IT,1999,0.026704928311925166
IT,2000,0.3997510521505717
IT,2001,0.026704928311925166
IT,2002,0.34076113617370035
IT,2003,0.026704928311925166
IT,2004,0.1912517224380595
IT,2005,0.026704928311925166
IT,2006,0.42151902302063143
IT,2007,0.22746781337668998
IT,2008,0.026704928311925166
IT,2009,0.0622884016086064
IT,2010,0.026704928311925166
IT,2011,0.6938808193161318
IT,2012,0.026704928311925166
IT,2013,0.026704928311925166
IT,2014,0.8231398609849683
IT,2015,0.026704928311925166
IT,2016,0.026704928311925166
IT,2017,3.383682674610348
IT,2018,0.026704928311925166
IT,2019,0.12000804066946294
IT,2020,0.026704928311925166
IT,2022,0.3879017023048427
LT,1993,0.00045292826915917613
LT,1994,0.00045292826915917613
LT,1995,0.004282865999741619
LT,1996,0.0072495729743209
LT,1997,0.0059603031721250435
LT,1998,0.007827336876494275
LT,1999,0.005148423162432214
LT,2000,0.0007015171255532893
LT,2001,0.0017732546515476862
LT,2002,0.00045292826915917613
LT,2003,0.005584039858206131
LT,2004,0.005886648432836987
LT,2005,0.002929806885026833
LT,2006,0.0023322861642633527
LT,2007,0.008268128334420166
LT,2008,0.009470303989502325
LT,2009,0.00045292826915917613
LT,2010,0.00045292826915917613
LT,2011,0.007651267773771532
LT,2012,0.003080255241912594
LT,2013,0.004688981065751742
LT,2014,0.008644838255898875
LT,2015,0.0021285683187799356
LT,2016,0.00045292826915917613
LT,2017,0.00045292826915917613
LT,2018,0.03480296937757309
LT,2019,0.009449555629367685
LT,2020,0.009156401074371096
LT,2022,0.01348582289899962
LU,2000,0.00918778573866929
LU,2001,0.007336576343842299
LU,2005,0.006749458367559691
LU,2006,0.001047325057292589
LU,2007,0.014444788281418541
LU,2009,0.0009868472582610366
LU,2011,0.0015173692112414316
LU,2013,0.01617027234205777
LU,2015,0.008368957760573309
LU,2017,0.011025063529950446
LU,2020,0.04946286811802435
LV,1993,0.001008732914475142
LV,1994,0.001008732914475142
LV,1995,0.011227480344533441
LV,1996,0.001008732914475142
LV,1997,0.0036963639487556997
LV,1998,0.023481062139670793
LV,1999,0.010648163681794292
LV,2000,0.012376020988839845
LV,2001,0.001008732914475142
LV,2002,0.01726111482497631
LV,2003,0.0045772569307195215
LV,2004,0.008555388616261747
LV,2005,0.011055761352692374
LV,2006,0.016296202456168463
LV,2007,0.019306456805417316
LV,2008,0.020161597819693487
LV,2009,0.001008732914475142
LV,2010,0.010401128775090786
LV,2011,0.009045382787130334
LV,2012,0.006290489850596882
LV,2013,0.012193431185496243
LV,2014,0.013162257918611042
LV,2015,0.01335028258350034
LV,2016,0.001008732914475142
LV,2017,0.001008732914475142
LV,2018,0.004811028375527219
LV,2019,0.005444839387447587
LV,2020,0.007735933826796638
NL,1993,0.005114015524989322
NL,1994,0.03974353522330052
NL,1995,0.005114015524989322
NL,1996,0.005114015524989322
NL,1997,0.08801770410351499
NL,1998,0.040037275129156696
NL,1999,0.047292574358603866
NL,2000,0.027929697704417493
NL,2001,0.005114015524989322
NL,2002,0.04001713534236241
NL,2003,0.017742489147292352
NL,2004,0.027170868663218696
NL,2005,0.053036145664021705
NL,2006,0.036874102820735034
NL,2007,0.09038742687338637
NL,2008,0.005114015524989322
NL,2009,0.03097441100850478
NL,2010,0.005114015524989322
NL,2011,0.18664574605992043
NL,2012,0.005114015524989322
NL,2013,0.010553228266003455
NL,2014,0.2500655156070215
NL,2015,0.02001746323889129
NL,2016,0.03662865683214368
NL,2017,0.12223488914100654
NL,2018,0.14919829222313666
NL,2019,0.2125402144108208
NL,2020,0.23737607064766855
NL,2022,0.037038165531586446
NO,1993,0.11393930352469242
NO,1994,0.11393930352469242
NO,1995,0.14873690473417614
NO,1996,0.11393930352469242
NO,1997,0.15853841722756926
NO,1998,0.13915881911815453
NO,1999,0.11393930352469242
NO,2000,0.20593732415046237
NO,2001,0.11393930352469242
NO,2002,0.11393930352469242
NO,2003,0.11393930352469242
NO,2004,0.24856657555308087
NO,2005,0.20709442489103408
NO,2006,0.11393930352469242
NO,2007,0.2733124945944727
NO,2008,0.1609097683920576
NO,2009,0.11393930352469242
NO,2010,0.19227548397196806
NO,2011,0.1577393624299572
NO,2012,0.16192627731978598
NO,2013,0.18376826497430565
NO,2014,0.14475418331477966
NO,2015,0.1242041349428223
NO,2016,0.11393930352469242
NO,2017,0.11393930352469242
NO,2018,0.13868405422241448
NO,2019,0.13914575438200838
NO,2020,0.15707951108209522
NO,2021,0.09689120206822827
NO,2022,0.07781533252195333
PL,2009,0.00045669698428094097
PL,2010,0.011635807806258322
PL,2011,0.0266833456173598
PL,2012,0.019874447242715643
PL,2013,0.03682128973115449
PL,2014,0.05892925988686307
PL,2015,1.4775748107166236
PL,2017,0.018684002819232104
PL,2019,0.157390824714152
PL,2020,0.0371876026893907
PT,1993,0.004841011330493345
PT,1994,0.005726601734328385
PT,1995,0.008296631437802475
PT,1996,0.0020500240987126853
PT,1997,0.011042371338545234
PT,1998,0.009138988173456224
PT,1999,0.009318988763370041
PT,2000,0.004620963180231331
PT,2001,0.0020500240987126853
PT,2002,0.005309933033872977
PT,2003,0.010892636008876818
PT,2004,0.0026759803874261043
PT,2005,0.0020500240987126853
PT,2006,0.020251323546189352
PT,2007,0.008567022199775133
PT,2008,0.011204986404660932
PT,2009,0.002171255646471542
PT,2010,0.027897623187653417
PT,2011,0.010482783126734745
PT,2012,0.0020500240987126853
PT,2013,0.0020500240987126853
PT,2014,0.33578849451152043
PT,2015,0.004380879618286595
PT,2016,0.012444886012280982
PT,2017,0.006256473104559642
PT,2018,0.009631536754241716
PT,2019,0.013405662164457618
PT,2020,0.01654623484782975
PT,2021,0.005168504316589532
PT,2022,0.0006943259983737931
RO,1994,0.0025198135531258256
RO,1998,0.0032493668884989307
RO,1999,0.0058688777490097654
RO,2000,0.002222686924425614
RO,2001,0.011819444097429313
RO,2003,0.004620431942540713
RO,2005,0.004797919268561789
RO,2006,0.004559324747169684
RO,2007,0.010617719348656886
RO,2008,0.0023914932842876158
RO,2009,0.0038393449931810597
RO,2010,0.0054390675246617365
RO,2011,0.005224457073694053
RO,2012,0.0003612865007885935
RO,2013,0.0035978971828692224
RO,2014,0.0062839706043885946
RO,2015,0.001412366703550036
RO,2018,0.0005250343819972747
RO,2019,0.00206148910589965
