node,year_construction,capacity_existing
DK,2012,0.004204473382727836
DK,2015,0.06574157833120094
DK,2017,0.029101859879030814
DK,2018,0.014274155638802397
DK,2019,0.037931826001444166
DK,2020,0.1677206715709627
HU,2019,0.005735875823311067
HU,2020,0.005538046673493468
NO,2004,0.011010198748404282
NO,2005,0.029464463666264956
NO,2007,0.03948312597193551
NO,2009,0.02765853670922297
NO,2012,0.0679141104800692
NO,2013,0.002990288150333309
NO,2016,0.0275261568428585
NO,2017,0.004934118902411078
NO,2020,0.029591842864166912
SE,2012,0.026166508038098283
SE,2013,0.004015481553844999
SE,2014,0.006134064079224295
SE,2016,0.0060901278984253834
SE,2019,0.0032460262988763117
SE,2020,0.03807872452188
