node,year_construction,capacity_existing
AT,2004,0.08803974132611203
AT,2005,0.3338573985509842
AT,2006,0.12782141213322226
AT,2007,0.3372704910922282
AT,2008,0.09316903721386431
AT,2009,0.12278740994091031
AT,2011,0.2717945508430978
AT,2012,0.0843933752652124
AT,2013,0.1517195520251859
AT,2014,0.2743441354889583
AT,2016,0.23448469946340889
AT,2017,0.040429940339134635
AT,2018,0.30194440697570085
AT,2019,0.11221150453159158
AT,2020,0.029729210565254967
AT,2021,0.1313730395808419
BE,2004,0.09952118446961956
BE,2005,0.07544120087180682
BE,2006,0.15694063703094643
BE,2007,0.24889237808207304
BE,2008,0.011157812614743736
BE,2009,0.1635750393271143
BE,2011,0.42423874161468467
BE,2012,0.10281515194318433
BE,2013,0.049076895058771275
BE,2014,0.44735981776489975
BE,2016,0.15846989347985635
BE,2017,0.0946855970352384
BE,2018,0.17038341620285302
BE,2019,0.20558377530138364
BE,2021,0.1370754623807804
BG,2004,0.03470258206645107
BG,2005,0.014650771981543749
BG,2006,0.02143439456424635
BG,2007,0.07175788099280053
BG,2008,0.07608693625422948
BG,2009,0.03167637769721066
BG,2010,0.07985612665700186
BG,2012,0.023284717380038344
BG,2013,0.06274440224770006
BG,2014,0.1319160558206697
BG,2015,0.024295000352244613
BG,2016,0.04619173918982444
BG,2017,0.0035815278708185364
BG,2018,0.044808124928941456
BG,2019,0.09119170829237117
BG,2020,0.008251696663410966
CH,2004,0.11928622979379519
CH,2005,0.4523478801964591
CH,2006,0.17318695069551115
CH,2007,0.4569723251919776
CH,2008,0.1262359817890949
CH,2009,0.16636631341001193
CH,2011,0.3682580929954987
CH,2012,0.11434571936860362
CH,2013,0.20556686190217366
CH,2014,0.3717125595280427
CH,2016,0.31770647348580056
CH,2017,0.05477907001088659
CH,2018,0.40910853863188223
CH,2019,0.15203687690859854
CH,2020,0.04028050729884745
CH,2021,0.17799909849918805
CZ,2004,0.021535661436575884
CZ,2005,0.13701251973486922
CZ,2006,0.08965147281817204
CZ,2007,0.11381773981080845
CZ,2008,0.021535661436575884
CZ,2009,0.0279079070008802
CZ,2010,0.07041571443640407
CZ,2011,0.3963897862795254
CZ,2012,0.08922391847962133
CZ,2013,0.11211500102249122
CZ,2014,0.23016688502699817
CZ,2015,0.20580937504754887
CZ,2016,0.051397204093583705
CZ,2017,0.05867577572076042
CZ,2018,0.17580263877164987
CZ,2019,0.17065825473367416
CZ,2021,0.044990099182078074
CZ,2022,0.004625746071991919
DE,2004,0.42523837423039207
DE,2005,0.25312408171791423
DE,2006,0.132795665454485
DE,2007,1.8074726310938476
DE,2008,0.132795665454485
DE,2009,0.8642558665253278
DE,2011,0.9812097074805388
DE,2013,0.22082938235099692
DE,2014,0.5030203429024183
DE,2015,0.0018899904578546915
DE,2016,0.2562130357362729
DE,2017,0.37139651136427543
DE,2018,0.6118840320140961
DE,2019,0.5465359958314489
DE,2020,0.1284767465632793
DE,2021,0.7248223057197883
DE,2022,0.25663622149551824
DK,2004,0.06818806896489478
DK,2005,0.05736731860362723
DK,2006,0.09302142571775252
DK,2007,0.07635774924981821
DK,2008,0.06476743413583946
DK,2009,0.04260290837414391
DK,2011,0.2563194582185637
DK,2012,0.0234518583287173
DK,2013,0.09779216312688978
DK,2014,0.17696878971458324
DK,2016,0.10768157058548428
DK,2017,0.046309563693168625
DK,2018,0.12218929938214869
DK,2019,0.2320726079104414
DK,2020,0.14327017708484144
DK,2021,0.03315262361056585
EE,2004,0.00263724092398756
EE,2005,0.0025284176892810435
EE,2006,0.005544966351706718
EE,2007,0.0009565272548035326
EE,2008,0.003997062118344255
EE,2009,0.0010263774639115426
EE,2011,0.007608072115830874
EE,2012,0.009847573755418323
EE,2013,0.0004122396696183557
EE,2014,0.0014354305017555992
EE,2015,0.0012456226613282815
EE,2016,0.00015588529765461943
EE,2017,0.008229948097236737
EE,2018,0.0014874783571313369
EE,2019,0.0062661523987031995
EE,2020,0.00011464445738747621
EE,2021,0.0019827381772946646
EL,2004,0.1258511837342593
EL,2006,0.0827368668138222
EL,2007,0.18777381885979705
EL,2008,0.13810060353205733
EL,2009,0.27165260084573717
EL,2010,0.1021876749981332
EL,2012,0.4820180781821928
EL,2013,0.7663658017139396
EL,2014,2.574801220300389
EL,2016,0.7136306136573092
EL,2017,0.42969838814909966
ES,2004,0.09114917996279909
ES,2005,0.22230114000615853
ES,2006,0.26056426540894717
ES,2007,0.30746295543422747
ES,2008,0.3958713065216538
ES,2009,0.11152748627170846
ES,2011,0.18044166711964615
ES,2012,0.08226242215600896
ES,2013,0.09515427106918266
ES,2014,0.5681875448854128
ES,2015,0.049191550517605626
ES,2016,0.42431024927380395
ES,2017,0.22372397836377003
ES,2018,0.025635311557073468
ES,2019,0.23482194983845608
ES,2020,0.16834621593440197
ES,2021,0.015199918197452596
FI,2004,0.40156689306185045
FI,2005,0.330807424411876
FI,2006,0.26643079984072526
FI,2007,0.17136609223682736
FI,2008,0.3077230610186242
FI,2009,0.17136609223682736
FI,2010,0.1078901933876397
FI,2011,0.4456105340600847
FI,2012,0.22811628668964667
FI,2013,0.1312467229702985
FI,2015,0.1647036701191923
FI,2016,0.169987723707544
FI,2017,0.8080124366800091
FI,2018,0.52898197471842
FI,2019,0.22196320251326962
FI,2020,0.028062508061648894
FI,2021,0.09379405308855703
FR,2004,0.6775523549973365
FR,2005,0.9969582348334763
FR,2006,2.1633601576939983
FR,2007,2.9817772658905324
FR,2008,0.6775523549973365
FR,2009,0.6860005037836346
FR,2010,1.2097622564492183
FR,2011,0.5460927255708642
FR,2012,1.4675873853881662
FR,2013,1.57927882715556
FR,2014,0.5761453930638718
FR,2015,0.36755468922583406
FR,2016,1.550569149650716
FR,2018,0.786013567285217
FR,2019,0.9532297050998126
FR,2021,0.6258768692053202
FR,2022,0.2205303409622019
HR,2004,0.04561699472690436
HR,2005,0.019653472266357122
HR,2006,0.06294764290388655
HR,2007,0.04420642143446244
HR,2008,0.029606123123878027
HR,2009,0.006898017300205552
HR,2011,0.06319301834529761
HR,2012,0.03046945283246249
HR,2013,0.032306257089060264
HR,2014,0.030212647554234445
HR,2015,0.0073806408351085855
HR,2016,0.03964155084080123
HR,2017,0.042836928254828266
