node,year_construction,capacity_existing
AT,2018,0.0013905554617590248
AT,2019,0.02359435259318525
AT,2020,0.0026886868150820947
CH,2018,0.0018840823002646261
CH,2019,0.031968305709137314
CH,2020,0.0036429379327617972
DK,2011,0.0006953418418106594
DK,2012,0.0014637509491987786
DK,2013,0.004736436888082128
DK,2014,0.00014065635664581817
DK,2015,0.00463020460148781
DK,2016,0.0012704872772952775
DK,2017,0.004949498647953556
DK,2018,0.025544851369741953
DK,2019,0.026113140186468656
DK,2020,0.09997401761695698
FI,2007,0.005139256419954243
FI,2008,0.022834677073248016
FI,2010,0.020047282617847436
FI,2011,0.004941222973900261
FI,2012,0.019632500779188287
FI,2013,0.0028322650685109613
FI,2014,0.02406706969676424
FI,2015,0.07901052734971249
FI,2017,0.016806076140439025
FI,2019,0.0018371072964667723
FI,2020,0.01772317563410028
FR,2014,0.010130427379566237
FR,2015,0.012928076585741884
FR,2017,0.0009324656852906683
FR,2018,0.026444291802070335
FR,2019,0.015842108757994557
FR,2020,0.006016481341873575
NO,1998,0.0059642027982867545
NO,1999,0.003751331198441527
NO,2000,0.0025540745871201614
NO,2001,0.004925025649751766
NO,2002,0.0018708482688131328
NO,2003,0.005496894575903348
NO,2004,0.0011288992209567417
NO,2005,0.004976373468325544
NO,2006,0.03479498998798343
NO,2008,0.032093235777165455
NO,2009,0.0019256553763316864
NO,2010,0.006071720891152196
NO,2012,0.019256237432527162
NO,2013,0.028685909172120383
NO,2014,0.0019514932460572842
NO,2015,0.016603879155310947
NO,2016,0.0033232523583984763
NO,2017,0.011713165157743732
NO,2018,0.010033745324255605
NO,2019,0.01787311115843354
NO,2022,0.0031726758531875196
SE,2011,0.6790763668017985
SE,2012,0.09945184072056734
SE,2014,0.1686996179027065
SE,2017,0.0019915092991693584
SE,2018,0.0112940688812464
SE,2019,0.023713467272389654
SE,2020,0.1447404769889592
