node,year_construction,capacity_existing
AT,2002,0.08890007432843118
AT,2003,0.34200766396409193
AT,2004,0.6767974050096728
AT,2005,0.08890007432843118
AT,2006,0.08890007432843118
AT,2007,0.08890007432843118
AT,2008,0.08890007432843118
AT,2009,0.08890007432843118
AT,2010,0.2033987871917262
AT,2011,0.08890007432843118
AT,2012,0.753510732188193
AT,2013,0.6643721004297622
AT,2014,0.28140663321684684
AT,2015,0.13438859494181946
AT,2016,0.7612150252254859
AT,2018,0.1208384953857588
AT,2019,0.5525015044640545
AT,2020,0.060123003594014006
AT,2021,0.0755922755955443
AT,2022,0.7846073989561404
BE,2002,0.7624462776612551
BE,2003,0.5628600315499227
BE,2004,0.6781369248002119
BE,2005,0.5628600315499227
BE,2006,1.7979276388691792
BE,2007,1.1725243253948612
BE,2008,0.5628600315499227
BE,2009,2.1940813433545707
BE,2010,1.1174678072007074
BE,2011,0.5628600315499227
BE,2012,2.1276267928548886
BE,2014,1.2267429655727131
BE,2016,1.4146921864282038
BE,2017,0.3718865959449614
BE,2018,0.24590596554541752
BE,2019,1.3391372610849837
BE,2020,0.3963202051090739
BE,2021,0.9530762047260923
BE,2022,0.9879555307370453
BG,2002,0.009381851848549505
BG,2003,0.044154005544984165
BG,2004,0.06907145706522308
BG,2005,0.10874738299316683
BG,2006,0.14439873887550636
BG,2007,0.11195371917791996
BG,2008,0.10625369328935297
BG,2010,0.015239098331427225
BG,2011,0.004416708245102319
BG,2014,0.06189550854303305
BG,2017,0.05195827140976694
BG,2018,0.055661778352097624
BG,2020,0.03975672588693957
BG,2022,0.014007717380995932
CH,2002,0.12045190655145023
CH,2003,0.46339078443838655
CH,2004,0.9170019080222256
CH,2005,0.12045190655145023
CH,2006,0.12045190655145023
CH,2007,0.12045190655145023
CH,2008,0.12045190655145023
CH,2009,0.12045190655145023
CH,2010,0.27558775279517195
CH,2011,0.12045190655145023
CH,2012,1.0209418269296155
CH,2013,0.900166695707291
CH,2014,0.38128163270110554
CH,2015,0.18208491502167296
CH,2016,1.0313804772005322
CH,2018,0.16372570286331448
CH,2019,0.7485917204003582
CH,2020,0.08146146631716171
CH,2021,0.10242099103773142
CH,2022,1.063075119031898
CZ,2002,0.05615479048296093
CZ,2003,0.05615479048296093
CZ,2004,0.10904827230324782
CZ,2005,0.882207628313328
CZ,2006,0.05615479048296093
CZ,2007,0.05615479048296093
CZ,2008,0.1762559951330026
CZ,2009,0.05615479048296093
CZ,2010,0.05615479048296093
CZ,2011,0.05615479048296093
CZ,2012,0.33477871426177286
CZ,2014,0.14057122989877638
CZ,2015,2.650251796458497
CZ,2016,1.273667658285281
CZ,2017,1.6951948292987313
CZ,2018,0.41184679638883914
CZ,2019,1.2029118274677877
CZ,2022,1.1095168206623027
DE,2002,7.325193078719271
DE,2003,2.0215607550198693
DE,2004,2.952419668416207
DE,2005,2.0215607550198693
DE,2006,2.860629957079262
DE,2007,10.324688867059564
DE,2008,2.0215607550198693
DE,2009,5.460750134620153
DE,2010,2.0215607550198693
DE,2011,2.0215607550198693
DE,2012,11.009522839855201
DE,2013,6.725534083880487
DE,2014,5.183198087680253
DE,2015,8.73747140351468
DE,2016,14.375801769027754
DE,2017,7.5503355138871955
DE,2018,9.814485720655172
DE,2019,2.5215733138050136
DE,2020,6.156215054733996
DE,2021,4.312878786907621
DK,2002,0.10141132790861954
DK,2003,0.3916217631026966
DK,2004,0.10141132790861954
DK,2005,0.10141132790861954
DK,2006,0.11812264585866877
DK,2007,0.10141132790861954
DK,2008,0.10141132790861954
DK,2009,0.10904645098804955
DK,2010,0.155078216838491
DK,2011,0.10141132790861954
DK,2012,0.40462236088944814
DK,2013,0.3174831078173298
DK,2014,0.3470310290841332
DK,2016,0.3817225560044427
DK,2017,0.4947268117790719
DK,2019,0.2363317894375582
DK,2020,0.006393600195153872
DK,2021,0.0011112408936550296
DK,2022,0.027536137459030045
EE,2002,0.007936608223537587
EE,2003,0.13598535078287768
EE,2006,0.024907719459726915
EE,2010,0.010028025554899676
EE,2011,0.011732256309022136
EE,2012,0.019112253299253586
EE,2013,0.027683570028140755
EE,2014,0.07835964775384634
EE,2015,0.012102137850685311
EE,2016,0.02593451128537116
EE,2018,0.01681455069542653
EE,2019,0.06680284805277013
EE,2021,0.01616769136345436
EE,2022,0.03665427104528498
EL,2005,0.05980181302320059
EL,2006,0.375160159526994
EL,2007,0.321961988597087
EL,2008,0.32295261661484753
EL,2009,0.6070289664049078
EL,2010,0.15150663340377823
EL,2011,0.22689908165881167
EL,2013,0.3324108479531289
EL,2015,0.6028409261464942
EL,2017,0.1284305332933351
EL,2018,0.1113587854076954
EL,2019,0.2752619745289109
EL,2020,0.06907934560916207
ES,2002,0.7242845789049577
ES,2003,0.32770542880721587
ES,2004,0.14477861902948844
ES,2005,0.6311352172689343
ES,2006,3.9627319663577873
ES,2007,0.016167435586959128
ES,2008,0.016167435586959128
ES,2009,0.22476400637877397
ES,2010,1.571807147457016
ES,2011,0.15478276791205778
ES,2012,0.6181929208007122
ES,2013,0.38300391299814074
ES,2014,0.413774242999162
ES,2016,0.23300695568326646
ES,2017,0.4897129851804908
ES,2018,0.8258468174762091
ES,2019,1.280328427840648
ES,2020,0.8028224796826681
ES,2021,0.3991790207055258
ES,2022,0.5975701427229815
FI,2002,0.012112063885761026
FI,2004,0.015915871847952484
FI,2005,0.0006586066064053209
FI,2006,0.006042182649302591
FI,2012,0.02323635930534565
FI,2014,0.013258663773882934
FI,2015,0.008428104961441751
FI,2016,0.004180634409541195
FI,2017,0.0005703304910452123
FI,2018,0.009180932293705257
FI,2019,0.01094101911575629
FI,2020,0.02211829452014899
FI,2021,0.0036403349686041364
FR,2002,3.6159966773004637
FR,2003,2.841576216912812
FR,2004,5.5508280193285
FR,2005,1.8026335126139255
FR,2006,2.3804188165187075
FR,2007,3.005710988548246
FR,2008,1.8026335126139255
FR,2009,5.357085425647522
FR,2010,1.8026335126139255
FR,2011,3.542670155809134
FR,2012,5.229216414301053
FR,2013,1.5832119858843143
FR,2014,1.9975991035347118
FR,2015,3.7909300453731745
FR,2016,1.9777551566582565
FR,2017,3.9747485395199327
FR,2018,0.8762839528834362
FR,2020,3.1726587777620354
HR,2002,0.03624653155158965
HR,2003,0.10871469508341453
HR,2004,0.0743961385131151
HR,2005,0.17379831310059368
HR,2006,0.06918966650085157
HR,2007,0.06009280380704086
HR,2008,0.16777138394704022
HR,2009,0.0653242839409403
HR,2010,0.11191186752640157
HR,2011,0.03624653155158965
HR,2012,0.30740665469624434
HR,2013,0.06612867181455889
HR,2014,0.30464389932301233
HR,2016,0.41381169559190933
HR,2017,0.19455525535792387
HR,2018,0.17699751434495564
HR,2019,0.22786118513883774
HR,2020,0.06835153365446196
HR,2022,0.19178861577956388
HU,2002,0.5455837999219834
HU,2003,0.8798972799285362
HU,2004,0.852165990481402
HU,2005,0.1513863514552951
HU,2006,0.1513863514552951
HU,2007,0.1513863514552951
HU,2008,0.6421558840455706
HU,2009,0.1513863514552951
HU,2010,0.1513863514552951
HU,2011,0.1513863514552951
HU,2012,1.7391107982460374
HU,2013,0.42640889799595416
HU,2014,2.9596673386759456
HU,2015,0.8857718844744409
HU,2016,1.9568859655778306
HU,2017,1.9129385807006003
HU,2018,0.8320347139471893
HU,2019,0.40664028782565764
HU,2020,1.0236326536710207
HU,2021,0.2665754091312725
HU,2022,0.48445459481194747
IE,2002,0.012690570530783716
IE,2003,0.11514520328941151
IE,2004,0.1750300332484794
IE,2005,0.012690570530783716
IE,2006,0.17431184484542586
IE,2007,0.012690570530783716
IE,2008,0.03888955981219567
IE,2009,0.012690570530783716
IE,2010,0.23142714638687706
IE,2011,0.012690570530783716
IE,2012,0.5476708858647705
IE,2013,0.2565398648479177
IE,2014,0.2108441918209848
IE,2015,0.09148585269807324
IE,2016,0.04506511345873337
IE,2017,0.3253614657324908
IE,2018,0.032345331532553666
IE,2019,0.1931570171987531
IE,2020,0.18384943185729175
IE,2021,0.27550244731908097
IE,2022,0.02087019133354927
IT,2002,4.191013505506266
IT,2003,7.679242682691741
IT,2004,8.062552036682854
IT,2005,4.191013505506266
IT,2006,4.191013505506266
IT,2007,4.191013505506266
IT,2008,4.475760369046865
IT,2009,7.66811203907797
IT,2010,10.212862729961998
IT,2011,6.858419134035116
IT,2012,8.381794019560191
IT,2013,0.824629139479609
IT,2014,4.408412613952123
IT,2015,3.9316204024952506
IT,2016,3.4672414131433342
IT,2017,3.127218294436576
IT,2018,0.37155741719978114
IT,2019,4.672117090977366
IT,2020,1.79702815306607
IT,2021,0.04196895742355395
IT,2022,0.6938808448153977
LT,2002,0.02489723305334247
LT,2003,0.028595423570219873
LT,2004,0.10663547214373459
LT,2005,0.013494491134814848
LT,2006,0.03933551893717158
LT,2007,0.1463276015911495
LT,2008,0.011093016958579172
LT,2009,0.011093016958579172
LT,2010,0.06136078390109417
LT,2011,0.011093016958579172
LT,2012,0.17409034598867396
LT,2015,0.07229862161168849
LT,2016,0.11372067723546259
LT,2017,0.017230884776358337
LT,2018,0.03359264656613807
LT,2019,0.03569502752164001
LT,2020,0.10925564195008515
LT,2022,0.024552131492529255
LU,2002,0.08939722347015987
LU,2003,0.009271001035337113
LU,2004,0.009271001035337113
LU,2005,0.009271001035337113
LU,2006,0.04655200045338541
LU,2007,0.009271001035337113
