node,year_construction,capacity_existing
AT,2003,0.4286433470295847
AT,2004,0.31791688418304526
AT,2005,0.47563526944629386
AT,2006,0.31791688418304526
AT,2007,0.31791688418304526
AT,2008,0.31791688418304526
AT,2009,0.31791688418304526
AT,2010,0.31791688418304526
AT,2013,0.2689522085298755
AT,2014,0.04257249106597018
AT,2016,0.31448899180545065
AT,2017,0.12856157417313366
AT,2019,0.11879963348237009
AT,2020,0.03728489990910105
AT,2022,0.3758694067150052
BE,2003,1.8984927569628889
BE,2004,0.4696017593606897
BE,2005,0.6082863969278646
BE,2006,0.4696017593606897
BE,2007,0.4696017593606897
BE,2008,2.1387967236799663
BE,2009,0.4696017593606897
BE,2010,0.4696017593606897
BE,2011,0.4334909878956895
BE,2012,1.1374237150781323
BE,2013,0.10428697885760875
BE,2014,1.0572104702084169
BE,2015,0.6238422775766159
BE,2017,0.8004561901029001
BE,2020,1.2347190225024964
BG,2006,0.010817071446138637
BG,2009,0.08482575128274705
BG,2012,0.008783865554067183
BG,2014,0.010941419167307398
BG,2015,0.11248070471643346
BG,2019,0.1715521209444748
BG,2021,0.2848382247633303
CH,2003,0.5807746368081073
CH,2004,0.4307498628547006
CH,2005,0.6444446246047356
CH,2006,0.4307498628547006
CH,2007,0.4307498628547006
CH,2008,0.4307498628547006
CH,2009,0.4307498628547006
CH,2010,0.4307498628547006
CH,2013,0.3644069651614019
CH,2014,0.05768204081130607
CH,2016,0.4261053653618313
CH,2017,0.1741898061997129
CH,2019,0.1609632214445593
CH,2020,0.05051781242656289
CH,2022,0.5092705151845485
CZ,2003,0.02336163210200074
CZ,2004,0.02336163210200074
CZ,2005,0.02336163210200074
CZ,2006,0.05699866613181644
CZ,2007,0.02336163210200074
CZ,2008,0.02336163210200074
CZ,2009,0.02336163210200074
CZ,2010,0.02336163210200074
CZ,2011,0.15838266050066924
CZ,2012,0.0682897529935558
CZ,2014,0.1608978710001562
CZ,2015,0.30076404779428134
CZ,2018,0.19780958551862005
CZ,2020,0.23149286686062936
CZ,2021,0.013590409839863366
DE,2003,0.7698144952738644
DE,2004,0.7698144952738644
DE,2005,1.9394375977262255
DE,2006,1.9783938886553494
DE,2007,0.7698144952738644
DE,2008,15.179640326205302
DE,2009,0.7698144952738644
DE,2010,0.7698144952738644
DE,2011,14.805594252339171
DE,2012,4.751974657976524
DE,2013,0.8566178274957801
DE,2014,2.2052878420379782
DE,2019,5.702646062885983
DE,2020,2.5091647970214512
DE,2021,6.251301333686115
DK,2003,0.2802065639950542
DK,2004,0.2802065639950542
DK,2005,0.2802065639950542
DK,2006,0.2802065639950542
DK,2007,0.2802065639950542
DK,2008,0.2802065639950542
DK,2009,0.2802065639950542
DK,2010,0.2802065639950542
DK,2011,0.18940487920061702
DK,2013,0.0413946843014058
DK,2019,0.10290478133545326
EE,2005,0.011717997988851647
EE,2008,0.010911778315263576
EE,2011,0.12616443251353765
EE,2014,0.04306885893946322
EE,2015,0.02979756187571253
EE,2017,0.018554945322341088
EE,2021,0.1463526618022004
EL,2003,1.081721546715082
EL,2004,0.4927619789537704
EL,2005,0.4927619789537704
EL,2006,0.4927619789537704
EL,2007,0.4927619789537704
EL,2008,0.4927619789537704
EL,2009,0.4927619789537704
EL,2010,0.4927619789537704
EL,2011,0.16329041486137716
EL,2015,1.4661344565818348
EL,2016,1.4125368765224955
EL,2018,0.056068580428787915
EL,2019,0.3633932906547765
EL,2020,1.297666989766003
EL,2021,0.4206957620806131
EL,2022,0.24941558755090767
ES,2003,0.9652094926824887
ES,2004,1.0800468307740243
ES,2005,0.823149874309392
ES,2006,0.823149874309392
ES,2007,1.8097624080518544
ES,2008,0.823149874309392
ES,2009,0.823149874309392
ES,2010,0.823149874309392
ES,2012,0.31923144716068363
ES,2013,1.568661040034429
ES,2014,0.9921710468521943
ES,2015,0.9772818460503079
ES,2016,1.1838297538848241
ES,2020,0.5963814647239237
FI,2003,0.27425377614855234
FI,2004,0.20473030265519157
FI,2005,0.20473030265519157
FI,2006,0.20473030265519157
FI,2007,0.20473030265519157
FI,2008,0.20473030265519157
FI,2009,0.20473030265519157
FI,2010,0.20473030265519157
FI,2015,0.4952721880097911
FI,2019,0.17343902189953
FI,2020,0.392598772780435
FI,2021,0.0964387852039715
FR,2003,1.6024601606577875
FR,2004,1.6024601606577875
FR,2005,1.6024601606577875
FR,2006,1.6024601606577875
FR,2007,1.6024601606577875
FR,2008,4.460095467291309
FR,2009,1.6024601606577875
FR,2010,1.6024601606577875
FR,2011,2.018659743295121
FR,2014,3.897378430388161
FR,2015,0.20953174673195987
FR,2017,0.5955858264744319
FR,2018,4.822453349623353
FR,2020,3.208775667845302
