node,year_construction,capacity_existing
AT,1993,0.0011076696904848645
AT,1994,0.011087926057785613
AT,1995,0.008541624626824396
AT,1996,0.0011076696904848645
AT,1997,0.018690892206746117
AT,1998,0.0011076696904848645
AT,1999,0.006433802042119284
AT,2000,0.01127477460384618
AT,2001,0.0011076696904848645
AT,2002,0.006663569171046462
AT,2003,0.0015766127127062304
AT,2004,0.05945796092905305
AT,2005,0.0011076696904848645
AT,2006,0.010633747595958164
AT,2007,0.02405803348826582
AT,2008,0.004989311096479348
AT,2009,0.024950730246921047
AT,2010,0.0058439648034641824
AT,2011,0.03815948127624949
AT,2012,0.0011076696904848645
AT,2013,0.058938838872058474
AT,2014,0.044284207023853585
AT,2015,0.020647067971611355
AT,2016,0.008808806773867583
AT,2017,0.007808359020360738
AT,2018,0.0011076696904848645
AT,2019,0.011455253997258278
AT,2020,0.0011076696904848645
AT,2021,0.009392683354080195
AT,2022,0.029731913400894438
BE,2009,0.005087207306697747
BE,2011,0.0005458282953108122
BE,2012,0.001076086050320761
BE,2013,0.0029371102052922465
BE,2014,0.010346248151419525
BE,2015,0.00023385028815458772
BE,2017,0.0019044312985901264
BE,2018,0.0003942774832049675
BE,2019,0.008423649549163043
BE,2020,0.00036165298378275715
BG,2017,0.0001889653327263798
BG,2018,0.0029155569185984878
BG,2019,0.011045882811155384
BG,2020,0.0013027740666458135
CH,1993,0.0015007965635129687
CH,1994,0.015023180165493503
CH,1995,0.011573162104981263
CH,1996,0.0015007965635129687
CH,1997,0.025324541272404827
CH,1998,0.0015007965635129687
CH,1999,0.008717244931481944
CH,2000,0.015276343773953628
CH,2001,0.0015007965635129687
CH,2002,0.00902855950518954
CH,2003,0.0021361737723315506
CH,2004,0.08056039106455117
CH,2005,0.0015007965635129687
CH,2006,0.014407807658158859
CH,2007,0.032596553191109094
CH,2008,0.006760084718591149
CH,2009,0.03380608003756678
CH,2010,0.007918066522602608
CH,2011,0.05170279448538829
CH,2012,0.0015007965635129687
CH,2013,0.07985702560653256
CH,2014,0.06000126778787614
CH,2015,0.027974990129818366
CH,2016,0.011935170790024301
CH,2017,0.010579650671224084
CH,2018,0.0015007965635129687
CH,2019,0.01552087773181542
CH,2020,0.0015007965635129687
CH,2021,0.01272627302259978
CH,2022,0.040284169407213015
CZ,1999,0.005210230765782392
CZ,2000,0.005472981177643166
CZ,2002,0.009628699215983152
CZ,2004,0.0025754712321413367
CZ,2005,0.0019661132980903703
CZ,2007,0.010400971594342535
CZ,2009,0.00012132144361583219
CZ,2011,0.019143209281938363
CZ,2012,0.0021839897338569864
CZ,2014,0.010575921477984612
CZ,2017,0.006923488548041826
CZ,2018,0.0003086500346362875
CZ,2020,0.006249566068803003
DE,2003,0.08594395885993888
DE,2004,0.06300418328947621
DE,2005,0.1721103101152549
DE,2006,0.049125349933954565
DE,2007,0.2141416807211718
DE,2008,0.04157541479479776
DE,2009,0.3610762897894293
DE,2010,0.26597507653382246
DE,2011,0.11109655047201161
DE,2014,0.19577775562172128
DE,2015,0.1318649894910342
DE,2017,0.170508086343389
DE,2019,0.2968974937016342
DK,1993,0.0070632272006874944
DK,1994,0.005837147111811188
DK,1995,0.05962540951419765
DK,1996,0.005837147111811188
DK,1997,0.09475837650084189
DK,1998,0.028735722810435696
DK,1999,0.05709780479102158
DK,2000,0.08749046625818635
DK,2001,0.020846457952498544
DK,2002,0.05736945599803448
DK,2003,0.052484039694711486
DK,2004,0.044904435419636436
DK,2005,0.012329335526399792
DK,2006,0.01483003220732863
DK,2007,0.10354384123950225
DK,2008,0.04135313451412562
DK,2009,0.005837147111811188
DK,2010,0.005837147111811188
DK,2011,0.15005918373130178
DK,2012,0.005837147111811188
DK,2013,0.005837147111811188
DK,2014,0.2272575385741335
DK,2015,0.030465975682873715
DK,2016,0.005837147111811188
DK,2017,0.06291574049244833
DK,2018,0.051752945643706194
DK,2019,0.11608947390877966
DK,2020,0.10487942271964108
DK,2022,0.07506992200491669
EE,2013,0.003205243067988653
EE,2014,0.022344488275531232
EE,2017,0.0086990331859884
EE,2018,0.014957260810739385
EE,2020,0.005596434108186027
FI,1996,0.0016435707533509133
FI,1998,0.0014657055308391134
FI,1999,0.0008750639473960875
FI,2001,0.0016590581380922093
FI,2003,0.008648417665104983
FI,2004,0.005755847480367851
FI,2005,0.004461039065679635
FI,2007,0.01100011082678435
FI,2008,0.02457470202023497
FI,2009,0.032668316536352215
FI,2011,0.02753230983289473
FI,2012,0.03051243778458261
FI,2013,0.002905852930735753
FI,2014,0.04482763290198635
FI,2015,0.03408722284778387
FI,2016,0.014355860231983042
FI,2017,0.006867074613742419
FI,2019,0.017918149956032026
FI,2020,0.02738988612994553
FR,1993,0.02571575462482204
FR,1994,0.10546137927570455
FR,1995,0.09888350853027592
FR,1996,0.003944659386801194
FR,1997,0.003944659386801194
FR,1998,0.003944659386801194
FR,1999,0.003944659386801194
FR,2000,0.003944659386801194
FR,2001,0.003944659386801194
FR,2002,0.09981281191026362
FR,2003,0.003944659386801194
FR,2004,0.003944659386801194
FR,2005,0.003944659386801194
FR,2006,0.003944659386801194
FR,2007,0.003944659386801194
FR,2008,0.08138751654614924
FR,2009,0.008119258177194237
FR,2010,0.03758013855345468
FR,2011,0.003944659386801194
FR,2012,0.037338652754384666
FR,2013,0.03585843612242146
FR,2014,0.1150018001980667
FR,2015,0.003944659386801194
FR,2016,0.02212591310385713
FR,2017,0.018705096176539253
FR,2018,0.03828673436601971
FR,2019,0.03926004333113036
FR,2020,0.05758185940025239
FR,2022,0.015174511225279904
HU,2006,0.0020937611645270634
HU,2007,0.004185351786788964
HU,2008,0.002012611449445447
HU,2012,0.001454845783790095
HU,2014,0.002789707985197804
HU,2015,0.014654289472786373
HU,2016,0.026657426624667788
HU,2018,0.006473668883824127
HU,2019,0.0030561957071584545
HU,2020,0.006247769101046408
IT,2011,0.029715364423131788
IT,2013,0.030242393620564717
IT,2014,0.017631705083485244
IT,2015,0.01877918895070066
IT,2016,0.015363932120884646
IT,2018,0.03605030028213663
IT,2020,0.004245428693191777
LT,2013,0.010487854702550894
LT,2014,0.015469642743903621
LT,2015,0.007902199476454257
LT,2016,0.024747257582908612
LT,2019,0.011881670309186639
LT,2020,0.059043332186779665
NL,2011,0.003228717572775118
NL,2013,0.016417088766192772
NL,2014,0.025314382240625224
NL,2015,0.07333284265315831
NL,2017,0.03640322059280213
NL,2019,0.009821542920642051
NL,2020,0.008901192281023262
NO,1993,0.0010459560364013685
NO,1996,0.01725327892708278
NO,1997,0.024168296110505968
NO,1999,0.0062889435347141245
NO,2000,0.008144560072577743
NO,2003,0.08013124611205118
NO,2006,0.005941599050231865
NO,2007,0.022572021388146898
NO,2008,0.03632888742167189
NO,2011,0.04768765009808742
NO,2012,0.036648158065377294
NO,2013,0.0480011894809052
NO,2014,0.08262016096292511
NO,2015,0.011935003370787787
NO,2017,0.03462619653862641
PL,2007,0.004589645634498362
PL,2008,0.011940408891401546
PL,2009,0.0003124612922793639
PL,2011,0.006150786554544808
PL,2012,0.0023292640824327006
PL,2015,0.0242995153505478
PL,2016,0.04445513293719196
PL,2017,0.06103625469911779
PL,2018,0.010966842594817339
PL,2019,0.06691783998828155
PL,2020,0.047683515631651574
SE,1997,0.08373055536319009
SE,1998,0.0014162473871396355
SE,1999,0.055180557335836836
SE,2000,0.09554835635502548
SE,2002,0.011317702962928779
SE,2003,0.12416813690542075
SE,2005,0.1895121776171717
SE,2006,0.061036853352227985
SE,2008,0.0848045240033365
SE,2009,0.0731791101689604
SE,2012,0.014120775050933902
SE,2013,0.10916604516523457
SE,2014,0.09632105969076157
SE,2015,0.06818832544700194
SE,2016,0.17966183162835495
SE,2017,0.08868910348972038
SE,2019,0.12234367456942999
SE,2020,0.277697989278537
UK,2014,0.003358824303531606
UK,2016,0.00655771845410106
UK,2017,0.012319394801222997
