year,capex_specific
2022,5186.290133585933
2023,5160.913242167133
2024,5135.536350748332
2025,5110.159459329531
2026,5083.629745615384
2027,5057.100031901237
2028,5030.570318187091
2029,5004.040604472944
2030,4977.510890758797
2031,4948.758259252386
2032,4920.005627745975
2033,4891.252996239564
2034,4862.500364733153
2035,4833.747733226742
2036,4805.263148139
2037,4776.778563051257
2038,4748.293977963515
2039,4719.809392875773
2040,4691.324807788031
2041,4659.510494807088
2042,4627.696181826146
2043,4595.881868845204
2044,4564.0675558642615
2045,4532.253242883319
2046,4502.085483517212
2047,4471.917724151105
2048,4441.749964784999
2049,4411.582205418892
2050,4381.414446052785
