year,opex_specific_fixed
2022,181.23356140691962
2023,179.96026469322132
2024,178.68696797952305
2025,177.41367126582475
2026,176.10401136683288
2027,174.79435146784104
2028,173.48469156884917
2029,172.17503166985733
2030,170.86537177086547
2031,169.6386088453648
2032,168.41184591986413
2033,167.18508299436346
2034,165.9583200688628
2035,164.73155714336212
2036,163.57014590857514
2037,162.40873467378813
2038,161.24732343900115
2039,160.08591220421414
2040,158.92450096942716
2041,157.6727630977933
2042,156.42102522615946
2043,155.16928735452558
2044,153.91754948289173
2045,152.66581161125788
2046,151.4847679904721
2047,150.30372436968634
2048,149.12268074890054
2049,147.94163712811476
2050,146.760593507329
