year,opex_specific_variable
2022,1.0
2023,0.9985676435815597
2024,0.9971352871631195
2025,0.9957029307446791
2026,0.9941322377568537
2027,0.9925615447690281
2028,0.9909908517812026
2029,0.9894201587933773
2030,0.9878494658055517
2031,0.9863717019445226
2032,0.984893938083494
2033,0.9834161742224651
2034,0.9819384103614363
2035,0.9804606465004072
2036,0.9785076997599275
2037,0.9765547530194474
2038,0.9746018062789678
2039,0.9726488595384878
2040,0.9706959127980079
2041,0.9682488705094469
2042,0.965801828220886
2043,0.9633547859323248
2044,0.960907743643764
2045,0.958460701355203
2046,0.9560439827361503
2047,0.9536272641170975
2048,0.9512105454980451
2049,0.9487938268789922
2050,0.9463771082599396
