year,capex_specific
2022,1139.5768608516223
2023,1129.4064639399678
2024,1119.2360670283133
2025,1109.0656701166588
2026,1100.7475495197682
2027,1092.4294289228776
2028,1084.1113083259872
2029,1075.7931877290966
2030,1067.475067132206
2031,1058.6006364494276
2032,1049.7262057666492
2033,1040.851775083871
2034,1031.9773444010925
2035,1023.1029137183141
2036,1014.9538236337057
2037,1006.8047335490974
2038,998.655643464489
2039,990.5065533798806
2040,982.3574632952723
2041,976.9244378488132
2042,971.4914124023542
2043,966.0583869558952
2044,960.6253615094362
2045,955.1923360629771
2046,950.7283740155818
2047,946.2644119681866
2048,941.8004499207913
2049,937.336487873396
2050,932.8725258260007
