year,opex_specific_fixed
2022,20.053265590478976
2023,19.9034695210469
2024,19.753673451614826
2025,19.603877382182752
2026,19.473323919844546
2027,19.34277045750634
2028,19.212216995168134
2029,19.08166353282993
2030,18.951110070491723
2031,18.806637749185278
2032,18.662165427878836
2033,18.51769310657239
2034,18.37322078526595
2035,18.228748463959505
2036,18.09353930523945
2037,17.958330146519394
2038,17.823120987799342
2039,17.687911829079287
2040,17.55270267035923
2041,17.45852445409344
2042,17.364346237827643
2043,17.27016802156185
2044,17.175989805296055
2045,17.081811589030263
2046,17.00333081729445
2047,16.924850045558642
2048,16.84636927382283
2049,16.767888502087022
2050,16.68940773035121
