year,opex_specific_variable
2022,1.0
2023,0.9910131664233887
2024,0.9820263328467778
2025,0.9730394992701665
2026,0.963844846188457
2027,0.9546501931067478
2028,0.9454555400250383
2029,0.9362608869433291
2030,0.9270662338616196
2031,0.9196154440751066
2032,0.9121646542885938
2033,0.904713864502081
2034,0.8972630747155681
2035,0.8898122849290553
2036,0.8824153977593736
2037,0.8750185105896919
2038,0.8676216234200103
2039,0.8602247362503288
2040,0.8528278490806471
2041,0.8497801339944371
2042,0.846732418908227
2043,0.8436847038220169
2044,0.8406369887358067
2045,0.8375892736495966
2046,0.8348733559161107
2047,0.8321574381826246
2048,0.8294415204491387
2049,0.8267256027156525
2050,0.8240096849821665
