technology,capacity_type,location,year,none
DAC,power,AT,0,3.61E-10
DAC,power,AT,1,5.99E-10
DAC,power,AT,2,8.34E-10
DAC,power,AT,3,1.09E-09
DAC,power,AT,4,1.39E-09
DAC,power,AT,5,1.71E-09
DAC,power,AT,6,2.07E-09
DAC,power,AT,7,2.50E-09
DAC,power,AT,8,3.01E-09
DAC,power,AT,9,3.66E-09
DAC,power,AT,10,4.10E-09
DAC,power,AT,11,4.89E-09
DAC,power,AT,12,6.13E-09
DAC,power,AT,13,8.43E-09
DAC,power,AT,14,1.72E-08
DAC,power,BE,0,3.59E-10
DAC,power,BE,1,5.93E-10
DAC,power,BE,2,8.25E-10
DAC,power,BE,3,1.08E-09
DAC,power,BE,4,1.37E-09
DAC,power,BE,5,1.68E-09
DAC,power,BE,6,2.04E-09
DAC,power,BE,7,2.46E-09
DAC,power,BE,8,2.98E-09
DAC,power,BE,9,3.63E-09
DAC,power,BE,10,4.08E-09
DAC,power,BE,11,4.88E-09
DAC,power,BE,12,6.14E-09
DAC,power,BE,13,8.50E-09
DAC,power,BE,14,1.80E-08
DAC,power,BG,0,3.63E-10
DAC,power,BG,1,6.01E-10
DAC,power,BG,2,8.35E-10
DAC,power,BG,3,1.09E-09
DAC,power,BG,4,1.39E-09
DAC,power,BG,5,1.70E-09
DAC,power,BG,6,2.06E-09
DAC,power,BG,7,2.49E-09
DAC,power,BG,8,3.01E-09
DAC,power,BG,9,3.65E-09
DAC,power,BG,10,4.09E-09
DAC,power,BG,11,4.88E-09
DAC,power,BG,12,6.11E-09
DAC,power,BG,13,8.39E-09
DAC,power,BG,14,1.66E-08
DAC,power,CH,0,3.62E-10
DAC,power,CH,1,6.00E-10
DAC,power,CH,2,8.35E-10
DAC,power,CH,3,1.09E-09
DAC,power,CH,4,1.39E-09
DAC,power,CH,5,1.71E-09
DAC,power,CH,6,2.07E-09
DAC,power,CH,7,2.50E-09
DAC,power,CH,8,3.01E-09
DAC,power,CH,9,3.65E-09
DAC,power,CH,10,4.09E-09
DAC,power,CH,11,4.88E-09
DAC,power,CH,12,6.11E-09
DAC,power,CH,13,8.39E-09
DAC,power,CH,14,1.71E-08
DAC,power,CZ,0,3.59E-10
DAC,power,CZ,1,5.95E-10
DAC,power,CZ,2,8.28E-10
DAC,power,CZ,3,1.09E-09
DAC,power,CZ,4,1.38E-09
DAC,power,CZ,5,1.69E-09
DAC,power,CZ,6,2.05E-09
DAC,power,CZ,7,2.48E-09
DAC,power,CZ,8,2.99E-09
DAC,power,CZ,9,3.64E-09
DAC,power,CZ,10,4.10E-09
DAC,power,CZ,11,4.91E-09
DAC,power,CZ,12,6.17E-09
DAC,power,CZ,13,8.57E-09
DAC,power,CZ,14,1.77E-08
DAC,power,DE,0,3.59E-10
DAC,power,DE,1,5.94E-10
DAC,power,DE,2,8.27E-10
DAC,power,DE,3,1.08E-09
DAC,power,DE,4,1.38E-09
DAC,power,DE,5,1.71E-09
DAC,power,DE,6,2.09E-09
DAC,power,DE,7,2.55E-09
DAC,power,DE,8,3.11E-09
DAC,power,DE,9,3.80E-09
DAC,power,DE,10,4.28E-09
DAC,power,DE,11,5.07E-09
DAC,power,DE,12,6.31E-09
DAC,power,DE,13,8.66E-09
DAC,power,DE,14,1.81E-08
DAC,power,DK,0,3.78E-10
DAC,power,DK,1,6.28E-10
DAC,power,DK,2,8.73E-10
DAC,power,DK,3,1.15E-09
DAC,power,DK,4,1.50E-09
DAC,power,DK,5,1.90E-09
DAC,power,DK,6,2.40E-09
DAC,power,DK,7,3.04E-09
DAC,power,DK,8,3.88E-09
DAC,power,DK,9,4.95E-09
DAC,power,DK,10,5.91E-09
DAC,power,DK,11,7.17E-09
DAC,power,DK,12,9.51E-09
DAC,power,DK,13,1.95E-08
DAC,power,DK,14,0.022540612
DAC,power,EE,0,3.74E-10
DAC,power,EE,1,6.18E-10
DAC,power,EE,2,8.59E-10
DAC,power,EE,3,1.13E-09
DAC,power,EE,4,1.47E-09
DAC,power,EE,5,1.86E-09
DAC,power,EE,6,2.33E-09
DAC,power,EE,7,2.93E-09
DAC,power,EE,8,3.70E-09
DAC,power,EE,9,4.68E-09
DAC,power,EE,10,5.55E-09
DAC,power,EE,11,6.80E-09
DAC,power,EE,12,8.89E-09
DAC,power,EE,13,1.59E-08
DAC,power,EE,14,6.80E-08
DAC,power,EL,0,3.79E-10
DAC,power,EL,1,6.33E-10
DAC,power,EL,2,8.78E-10
DAC,power,EL,3,1.15E-09
DAC,power,EL,4,1.51E-09
DAC,power,EL,5,1.91E-09
DAC,power,EL,6,2.40E-09
DAC,power,EL,7,3.03E-09
DAC,power,EL,8,3.85E-09
DAC,power,EL,9,4.91E-09
DAC,power,EL,10,5.84E-09
DAC,power,EL,11,7.07E-09
DAC,power,EL,12,9.30E-09
DAC,power,EL,13,1.73E-08
DAC,power,EL,14,4.79E-08
DAC,power,ES,0,3.54E-10
DAC,power,ES,1,5.89E-10
DAC,power,ES,2,8.20E-10
DAC,power,ES,3,1.07E-09
DAC,power,ES,4,1.37E-09
DAC,power,ES,5,1.69E-09
DAC,power,ES,6,2.08E-09
DAC,power,ES,7,2.54E-09
DAC,power,ES,8,3.11E-09
DAC,power,ES,9,3.82E-09
DAC,power,ES,10,4.37E-09
DAC,power,ES,11,5.26E-09
DAC,power,ES,12,6.67E-09
DAC,power,ES,13,9.56E-09
DAC,power,ES,14,2.30E-08
DAC,power,FI,0,3.77E-10
DAC,power,FI,1,6.25E-10
DAC,power,FI,2,8.68E-10
DAC,power,FI,3,1.14E-09
DAC,power,FI,4,1.49E-09
DAC,power,FI,5,1.89E-09
DAC,power,FI,6,2.39E-09
DAC,power,FI,7,3.03E-09
DAC,power,FI,8,3.86E-09
DAC,power,FI,9,4.91E-09
DAC,power,FI,10,5.86E-09
DAC,power,FI,11,7.11E-09
DAC,power,FI,12,9.43E-09
DAC,power,FI,13,1.91E-08
DAC,power,FI,14,3.95E-07
DAC,power,FR,0,3.63E-10
DAC,power,FR,1,6.02E-10
DAC,power,FR,2,8.39E-10
DAC,power,FR,3,1.10E-09
DAC,power,FR,4,1.40E-09
DAC,power,FR,5,1.71E-09
DAC,power,FR,6,2.08E-09
DAC,power,FR,7,2.51E-09
DAC,power,FR,8,3.03E-09
DAC,power,FR,9,3.69E-09
DAC,power,FR,10,4.15E-09
DAC,power,FR,11,4.96E-09
DAC,power,FR,12,6.23E-09
DAC,power,FR,13,8.64E-09
DAC,power,FR,14,1.82E-08
DAC,power,HR,0,3.67E-10
DAC,power,HR,1,6.07E-10
DAC,power,HR,2,8.42E-10
DAC,power,HR,3,1.10E-09
DAC,power,HR,4,1.42E-09
DAC,power,HR,5,1.78E-09
DAC,power,HR,6,2.21E-09
DAC,power,HR,7,2.75E-09
DAC,power,HR,8,3.42E-09
DAC,power,HR,9,4.26E-09
DAC,power,HR,10,4.94E-09
DAC,power,HR,11,6.05E-09
DAC,power,HR,12,7.82E-09
DAC,power,HR,13,1.24E-08
DAC,power,HR,14,3.14E-08
DAC,power,HU,0,3.66E-10
DAC,power,HU,1,6.06E-10
DAC,power,HU,2,8.44E-10
DAC,power,HU,3,1.10E-09
DAC,power,HU,4,1.41E-09
DAC,power,HU,5,1.73E-09
DAC,power,HU,6,2.09E-09
DAC,power,HU,7,2.53E-09
DAC,power,HU,8,3.06E-09
DAC,power,HU,9,3.73E-09
DAC,power,HU,10,4.21E-09
DAC,power,HU,11,5.02E-09
DAC,power,HU,12,6.30E-09
DAC,power,HU,13,8.74E-09
DAC,power,HU,14,1.76E-08
