location,year,Capacity in kWh
AT,0,0.03
AT,1,0.06
AT,2,0.09
AT,3,0.12
AT,4,0.16
AT,5,0.22
AT,6,0.25
AT,7,0.29
AT,8,0.35
AT,9,0.41
AT,10,0.50
AT,11,0.61
AT,12,0.77
AT,13,1.08
AT,14,2.33
BE,0,0.03
BE,1,0.06
BE,2,0.09
BE,3,0.12
BE,4,0.16
BE,5,0.22
BE,6,0.25
BE,7,0.29
BE,8,0.35
BE,9,0.41
BE,10,0.49
BE,11,0.61
BE,12,0.77
BE,13,1.08
BE,14,2.33
BG,0,0.03
BG,1,0.06
BG,2,0.09
BG,3,0.12
BG,4,0.16
BG,5,0.22
BG,6,0.24
BG,7,0.29
BG,8,0.35
BG,9,0.41
BG,10,0.49
BG,11,0.61
BG,12,0.77
BG,13,1.08
BG,14,2.32
CH,0,0.03
CH,1,0.06
CH,2,0.09
CH,3,0.12
CH,4,0.16
CH,5,0.22
CH,6,0.25
CH,7,0.29
CH,8,0.35
CH,9,0.41
CH,10,0.49
CH,11,0.61
CH,12,0.77
CH,13,1.08
CH,14,2.33
CZ,0,0.03
CZ,1,0.06
CZ,2,0.09
CZ,3,0.12
CZ,4,0.16
CZ,5,0.22
CZ,6,0.25
CZ,7,0.29
CZ,8,0.35
CZ,9,0.41
CZ,10,0.50
CZ,11,0.61
CZ,12,0.77
CZ,13,1.09
CZ,14,2.34
DE,0,0.03
DE,1,0.06
DE,2,0.09
DE,3,0.12
DE,4,0.17
DE,5,0.22
DE,6,0.25
DE,7,0.30
DE,8,0.35
DE,9,0.42
DE,10,0.50
DE,11,0.61
DE,12,0.78
DE,13,1.08
DE,14,2.34
DK,0,0.03
DK,1,0.06
DK,2,0.09
DK,3,0.12
DK,4,0.17
DK,5,0.22
DK,6,0.25
DK,7,0.30
DK,8,0.35
DK,9,0.42
DK,10,0.50
DK,11,0.62
DK,12,0.79
DK,13,1.10
DK,14,2.37
EE,0,0.03
EE,1,0.06
EE,2,0.09
EE,3,0.12
EE,4,0.17
EE,5,0.22
EE,6,0.25
EE,7,0.30
EE,8,0.35
EE,9,0.42
EE,10,0.50
EE,11,0.62
EE,12,0.79
EE,13,1.11
EE,14,2.38
EL,0,0.03
EL,1,0.06
EL,2,0.09
EL,3,0.12
EL,4,0.17
EL,5,0.22
EL,6,0.25
EL,7,0.30
EL,8,0.35
EL,9,0.42
EL,10,0.50
EL,11,0.62
EL,12,0.79
EL,13,1.11
EL,14,2.38
ES,0,0.03
ES,1,0.06
ES,2,0.09
ES,3,0.12
ES,4,0.16
ES,5,0.22
ES,6,0.25
ES,7,0.30
ES,8,0.35
ES,9,0.42
ES,10,0.50
ES,11,0.61
ES,12,0.78
ES,13,1.09
ES,14,2.35
FI,0,0.03
FI,1,0.06
FI,2,0.09
FI,3,0.12
FI,4,0.17
FI,5,0.22
