technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DAC,power,AT,9.519376441495e-10,1.5790757907484826e-09,2.2016673442826164e-09,2.889644912027797e-09,3.6838119360728755e-09,4.524592923566609e-09,5.489854989521703e-09,6.630386972845516e-09,8.006583969682542e-09,9.725399809895179e-09,1.0933277704350342e-08,1.3068993431603842e-08,1.6402704629819176e-08,2.2602081242887368e-08,4.6934398749118125e-08
DAC,power,BE,9.417831777446465e-10,1.5595150135464849e-09,2.170114621061421e-09,2.840970627212918e-09,3.6094043976985396e-09,4.434384663124014e-09,5.3815929660614155e-09,6.502655963354337e-09,7.87231009392907e-09,9.591378984299389e-09,1.0814994977558977e-08,1.2953495351329607e-08,1.630501550460937e-08,2.270088292750173e-08,4.929171681209525e-08
DAC,power,BG,9.57545839693244e-10,1.584877955610717e-09,2.205313585645424e-09,2.885456176513719e-09,3.6737071382427563e-09,4.5080529559080615e-09,5.468572642958819e-09,6.621404615506854e-09,8.009843215161522e-09,9.72371779660451e-09,1.0925778971831094e-08,1.3063720307250336e-08,1.638729374196579e-08,2.2523199116725474e-08,4.5116167879556096e-08
DAC,power,CH,9.543415826104691e-10,1.583214314378219e-09,2.2066906788687702e-09,2.8954831395635397e-09,3.6898909547638823e-09,4.5298264789683555e-09,5.4930978485534536e-09,6.629841766569745e-09,8.000890325943145e-09,9.71261117582938e-09,1.0912292399575937e-08,1.3051029642753366e-08,1.638033102631917e-08,2.265301554645363e-08,4.713850587363645e-08
DAC,power,CZ,9.45769799590048e-10,1.5684386376007322e-09,2.1864701914724882e-09,2.8683264542137046e-09,3.6540562194057437e-09,4.4868779596862625e-09,5.443571512994077e-09,6.572546864057015e-09,7.954122534007837e-09,9.690730613987228e-09,1.0937062404370208e-08,1.3114678391183716e-08,1.653657438114767e-08,2.299497435912475e-08,4.841406546709686e-08
DAC,power,DE,9.442252333672473e-10,1.5643274376060333e-09,2.177393610687519e-09,2.8517697177951476e-09,3.640059178401669e-09,4.501612752026573e-09,5.51615301235228e-09,6.743595656650918e-09,8.238472358084312e-09,1.00744708464942e-08,1.1366457642493353e-08,1.3464984553890963e-08,1.6778237829477547e-08,2.3133378214834476e-08,4.961138627422383e-08
DAC,power,DK,9.936804031700365e-10,1.6523779659266096e-09,2.2964617706504075e-09,3.019805999556972e-09,3.950567111337618e-09,5.023104404830705e-09,6.345813523330228e-09,8.06505992054346e-09,1.0304408492800548e-08,1.3170789409034925e-08,1.5759380106209353e-08,1.917395139663434e-08,2.55076787870083e-08,5.399245024249013e-08,0.022542028488892255
DAC,power,EE,9.867926499525166e-10,1.6312749429836094e-09,2.267290461270271e-09,2.9827656596006427e-09,3.891315117659268e-09,4.9271417036091e-09,6.194656750003497e-09,7.820327744404946e-09,9.929905157145857e-09,1.2677335030462164e-08,1.519329024325457e-08,1.8741446728392158e-08,2.4565458592683924e-08,4.4607203037872146e-08,1.982799921118179e-07
DAC,power,EL,9.973551564700093e-10,1.6656405190137462e-09,2.3125441129403664e-09,3.040000166049129e-09,3.9813402540619005e-09,5.051223084342622e-09,6.363923976119919e-09,8.077187015083488e-09,1.0304601932425295e-08,1.316573919693374e-08,1.573877152069693e-08,1.913884402622373e-08,2.526205344719764e-08,4.771688481765859e-08,1.385686956337022e-07
DAC,power,ES,9.327794575571682e-10,1.5544293863358611e-09,2.1653674760873024e-09,2.8333328280288685e-09,3.6205442544109664e-09,4.487132997385249e-09,5.506772779202046e-09,6.74481593807373e-09,8.269870128384379e-09,1.01875531503793e-08,1.1673515128073526e-08,1.4089634143717691e-08,1.7972304029694955e-08,2.5892313796756236e-08,6.461092383227732e-08
DAC,power,FI,9.897767979779854e-10,1.643487089508318e-09,2.2839097454479955e-09,3.0057448859979195e-09,3.934822029775656e-09,5.003794262089358e-09,6.321186828150366e-09,8.030807309187712e-09,1.0256194402769958e-08,1.31005273445525e-08,1.5665955007242795e-08,1.9072235331603363e-08,2.537010636514931e-08,5.2814968165559e-08,1.549211359770096e-06
DAC,power,FR,9.562439864624395e-10,1.5850645498454025e-09,2.2079366492315024e-09,2.893845705258579e-09,3.682640033695317e-09,4.519533332894556e-09,5.4791197038479846e-09,6.622619613197558e-09,8.013063758882775e-09,9.759036226247516e-09,1.1001699335991734e-08,1.3163134429268689e-08,1.6560917081447206e-08,2.307891485167372e-08,4.974384207268805e-08
DAC,power,HR,9.63827482975211e-10,1.595396072076512e-09,2.2145794461973335e-09,2.902624711482754e-09,3.75528268244462e-09,4.707188239373879e-09,5.848106527197127e-09,7.269381678496992e-09,9.052218251029812e-09,1.1296941422494023e-08,1.3135852816285114e-08,1.6104186792102536e-08,2.0855577309051067e-08,3.3297162469696626e-08,8.536712441558061e-08
