technology,capacity_type,location,year,none,
DAC,power,AT,0,9.52E-10,9.52E-04
DAC,power,AT,1,1.58E-09,1.58E-03
DAC,power,AT,2,2.20E-09,2.20E-03
DAC,power,AT,3,2.89E-09,2.89E-03
DAC,power,AT,4,3.68E-09,3.68E-03
DAC,power,AT,5,4.52E-09,4.52E-03
DAC,power,AT,6,5.49E-09,5.49E-03
DAC,power,AT,7,6.63E-09,6.63E-03
DAC,power,AT,8,8.01E-09,8.01E-03
DAC,power,AT,9,9.73E-09,9.73E-03
DAC,power,AT,10,1.09E-08,1.09E-02
DAC,power,AT,11,1.31E-08,1.31E-02
DAC,power,AT,12,1.64E-08,1.64E-02
DAC,power,AT,13,2.26E-08,2.26E-02
DAC,power,AT,14,4.69E-08,4.69E-02
DAC,power,BE,0,9.42E-10,9.42E-04
DAC,power,BE,1,1.56E-09,1.56E-03
DAC,power,BE,2,2.17E-09,2.17E-03
DAC,power,BE,3,2.84E-09,2.84E-03
DAC,power,BE,4,3.61E-09,3.61E-03
DAC,power,BE,5,4.43E-09,4.43E-03
DAC,power,BE,6,5.38E-09,5.38E-03
DAC,power,BE,7,6.50E-09,6.50E-03
DAC,power,BE,8,7.87E-09,7.87E-03
DAC,power,BE,9,9.59E-09,9.59E-03
DAC,power,BE,10,1.08E-08,1.08E-02
DAC,power,BE,11,1.30E-08,1.30E-02
DAC,power,BE,12,1.63E-08,1.63E-02
DAC,power,BE,13,2.27E-08,2.27E-02
DAC,power,BE,14,4.93E-08,4.93E-02
DAC,power,BG,0,9.58E-10,9.58E-04
DAC,power,BG,1,1.58E-09,1.58E-03
DAC,power,BG,2,2.21E-09,2.21E-03
DAC,power,BG,3,2.89E-09,2.89E-03
DAC,power,BG,4,3.67E-09,3.67E-03
DAC,power,BG,5,4.51E-09,4.51E-03
DAC,power,BG,6,5.47E-09,5.47E-03
DAC,power,BG,7,6.62E-09,6.62E-03
DAC,power,BG,8,8.01E-09,8.01E-03
DAC,power,BG,9,9.72E-09,9.72E-03
DAC,power,BG,10,1.09E-08,1.09E-02
DAC,power,BG,11,1.31E-08,1.31E-02
DAC,power,BG,12,1.64E-08,1.64E-02
DAC,power,BG,13,2.25E-08,2.25E-02
DAC,power,BG,14,4.51E-08,4.51E-02
DAC,power,CH,0,9.54E-10,9.54E-04
DAC,power,CH,1,1.58E-09,1.58E-03
DAC,power,CH,2,2.21E-09,2.21E-03
DAC,power,CH,3,2.90E-09,2.90E-03
DAC,power,CH,4,3.69E-09,3.69E-03
DAC,power,CH,5,4.53E-09,4.53E-03
DAC,power,CH,6,5.49E-09,5.49E-03
DAC,power,CH,7,6.63E-09,6.63E-03
DAC,power,CH,8,8.00E-09,8.00E-03
DAC,power,CH,9,9.71E-09,9.71E-03
DAC,power,CH,10,1.09E-08,1.09E-02
DAC,power,CH,11,1.31E-08,1.31E-02
DAC,power,CH,12,1.64E-08,1.64E-02
DAC,power,CH,13,2.27E-08,2.27E-02
DAC,power,CH,14,4.71E-08,4.71E-02
DAC,power,CZ,0,9.46E-10,9.46E-04
DAC,power,CZ,1,1.57E-09,1.57E-03
DAC,power,CZ,2,2.19E-09,2.19E-03
DAC,power,CZ,3,2.87E-09,2.87E-03
DAC,power,CZ,4,3.65E-09,3.65E-03
DAC,power,CZ,5,4.49E-09,4.49E-03
DAC,power,CZ,6,5.44E-09,5.44E-03
DAC,power,CZ,7,6.57E-09,6.57E-03
DAC,power,CZ,8,7.95E-09,7.95E-03
DAC,power,CZ,9,9.69E-09,9.69E-03
DAC,power,CZ,10,1.09E-08,1.09E-02
DAC,power,CZ,11,1.31E-08,1.31E-02
DAC,power,CZ,12,1.65E-08,1.65E-02
DAC,power,CZ,13,2.30E-08,2.30E-02
DAC,power,CZ,14,4.84E-08,4.84E-02
DAC,power,DE,0,9.44E-10,9.44E-04
DAC,power,DE,1,1.56E-09,1.56E-03
DAC,power,DE,2,2.18E-09,2.18E-03
DAC,power,DE,3,2.85E-09,2.85E-03
DAC,power,DE,4,3.64E-09,3.64E-03
DAC,power,DE,5,4.50E-09,4.50E-03
DAC,power,DE,6,5.52E-09,5.52E-03
DAC,power,DE,7,6.74E-09,6.74E-03
DAC,power,DE,8,8.24E-09,8.24E-03
DAC,power,DE,9,1.01E-08,1.01E-02
DAC,power,DE,10,1.14E-08,1.14E-02
DAC,power,DE,11,1.35E-08,1.35E-02
DAC,power,DE,12,1.68E-08,1.68E-02
DAC,power,DE,13,2.31E-08,2.31E-02
DAC,power,DE,14,4.96E-08,4.96E-02
DAC,power,DK,0,9.94E-10,9.94E-04
DAC,power,DK,1,1.65E-09,1.65E-03
DAC,power,DK,2,2.30E-09,2.30E-03
DAC,power,DK,3,3.02E-09,3.02E-03
DAC,power,DK,4,3.95E-09,3.95E-03
DAC,power,DK,5,5.02E-09,5.02E-03
DAC,power,DK,6,6.35E-09,6.35E-03
DAC,power,DK,7,8.07E-09,8.07E-03
DAC,power,DK,8,1.03E-08,1.03E-02
DAC,power,DK,9,1.32E-08,1.32E-02
DAC,power,DK,10,1.58E-08,1.58E-02
DAC,power,DK,11,1.92E-08,1.92E-02
DAC,power,DK,12,2.55E-08,2.55E-02
DAC,power,DK,13,5.40E-08,5.40E-02
DAC,power,DK,14,0.022542028,2.25E+04
DAC,power,EE,0,9.87E-10,9.87E-04
DAC,power,EE,1,1.63E-09,1.63E-03
DAC,power,EE,2,2.27E-09,2.27E-03
DAC,power,EE,3,2.98E-09,2.98E-03
DAC,power,EE,4,3.89E-09,3.89E-03
DAC,power,EE,5,4.93E-09,4.93E-03
DAC,power,EE,6,6.19E-09,6.19E-03
DAC,power,EE,7,7.82E-09,7.82E-03
DAC,power,EE,8,9.93E-09,9.93E-03
DAC,power,EE,9,1.27E-08,1.27E-02
DAC,power,EE,10,1.52E-08,1.52E-02
DAC,power,EE,11,1.87E-08,1.87E-02
DAC,power,EE,12,2.46E-08,2.46E-02
DAC,power,EE,13,4.46E-08,4.46E-02
DAC,power,EE,14,1.98E-07,1.98E-01
DAC,power,EL,0,9.97E-10,9.97E-04
DAC,power,EL,1,1.67E-09,1.67E-03
DAC,power,EL,2,2.31E-09,2.31E-03
DAC,power,EL,3,3.04E-09,3.04E-03
DAC,power,EL,4,3.98E-09,3.98E-03
DAC,power,EL,5,5.05E-09,5.05E-03
DAC,power,EL,6,6.36E-09,6.36E-03
DAC,power,EL,7,8.08E-09,8.08E-03
DAC,power,EL,8,1.03E-08,1.03E-02
DAC,power,EL,9,1.32E-08,1.32E-02
DAC,power,EL,10,1.57E-08,1.57E-02
DAC,power,EL,11,1.91E-08,1.91E-02
DAC,power,EL,12,2.53E-08,2.53E-02
DAC,power,EL,13,4.77E-08,4.77E-02
DAC,power,EL,14,1.39E-07,1.39E-01
DAC,power,ES,0,9.33E-10,9.33E-04
DAC,power,ES,1,1.55E-09,1.55E-03
DAC,power,ES,2,2.17E-09,2.17E-03
DAC,power,ES,3,2.83E-09,2.83E-03
DAC,power,ES,4,3.62E-09,3.62E-03
DAC,power,ES,5,4.49E-09,4.49E-03
DAC,power,ES,6,5.51E-09,5.51E-03
DAC,power,ES,7,6.74E-09,6.74E-03
DAC,power,ES,8,8.27E-09,8.27E-03
DAC,power,ES,9,1.02E-08,1.02E-02
DAC,power,ES,10,1.17E-08,1.17E-02
DAC,power,ES,11,1.41E-08,1.41E-02
DAC,power,ES,12,1.80E-08,1.80E-02
DAC,power,ES,13,2.59E-08,2.59E-02
DAC,power,ES,14,6.46E-08,6.46E-02
DAC,power,FI,0,9.90E-10,9.90E-04
DAC,power,FI,1,1.64E-09,1.64E-03
DAC,power,FI,2,2.28E-09,2.28E-03
DAC,power,FI,3,3.01E-09,3.01E-03
DAC,power,FI,4,3.93E-09,3.93E-03
DAC,power,FI,5,5.00E-09,5.00E-03
