technology,capacity_type,location,year,none
DAC,power,AT,0,9.519376441495e-10
DAC,power,AT,1,1.5790757907484826e-09
DAC,power,AT,2,2.2016673442826164e-09
DAC,power,AT,3,2.889644912027797e-09
DAC,power,AT,4,3.6838119360728755e-09
DAC,power,AT,5,4.524592923566609e-09
DAC,power,AT,6,5.489854989521703e-09
DAC,power,AT,7,6.630386972845516e-09
DAC,power,AT,8,8.006583969682542e-09
DAC,power,AT,9,9.725399809895179e-09
DAC,power,AT,10,1.0933277704350342e-08
DAC,power,AT,11,1.3068993431603842e-08
DAC,power,AT,12,1.6402704629819176e-08
DAC,power,AT,13,2.2602081242887368e-08
DAC,power,AT,14,4.6934398749118125e-08
DAC,power,BE,0,9.417831777446465e-10
DAC,power,BE,1,1.5595150135464849e-09
DAC,power,BE,2,2.170114621061421e-09
DAC,power,BE,3,2.840970627212918e-09
DAC,power,BE,4,3.6094043976985396e-09
DAC,power,BE,5,4.434384663124014e-09
DAC,power,BE,6,5.3815929660614155e-09
DAC,power,BE,7,6.502655963354337e-09
DAC,power,BE,8,7.87231009392907e-09
DAC,power,BE,9,9.591378984299389e-09
DAC,power,BE,10,1.0814994977558977e-08
DAC,power,BE,11,1.2953495351329607e-08
DAC,power,BE,12,1.630501550460937e-08
DAC,power,BE,13,2.270088292750173e-08
DAC,power,BE,14,4.929171681209525e-08
DAC,power,BG,0,9.57545839693244e-10
DAC,power,BG,1,1.584877955610717e-09
DAC,power,BG,2,2.205313585645424e-09
DAC,power,BG,3,2.885456176513719e-09
DAC,power,BG,4,3.6737071382427563e-09
DAC,power,BG,5,4.5080529559080615e-09
DAC,power,BG,6,5.468572642958819e-09
DAC,power,BG,7,6.621404615506854e-09
DAC,power,BG,8,8.009843215161522e-09
DAC,power,BG,9,9.72371779660451e-09
DAC,power,BG,10,1.0925778971831094e-08
DAC,power,BG,11,1.3063720307250336e-08
DAC,power,BG,12,1.638729374196579e-08
DAC,power,BG,13,2.2523199116725474e-08
DAC,power,BG,14,4.5116167879556096e-08
DAC,power,CH,0,9.543415826104691e-10
DAC,power,CH,1,1.583214314378219e-09
DAC,power,CH,2,2.2066906788687702e-09
DAC,power,CH,3,2.8954831395635397e-09
DAC,power,CH,4,3.6898909547638823e-09
DAC,power,CH,5,4.5298264789683555e-09
DAC,power,CH,6,5.4930978485534536e-09
DAC,power,CH,7,6.629841766569745e-09
DAC,power,CH,8,8.000890325943145e-09
DAC,power,CH,9,9.71261117582938e-09
DAC,power,CH,10,1.0912292399575937e-08
DAC,power,CH,11,1.3051029642753366e-08
DAC,power,CH,12,1.638033102631917e-08
DAC,power,CH,13,2.265301554645363e-08
DAC,power,CH,14,4.713850587363645e-08
DAC,power,CZ,0,9.45769799590048e-10
DAC,power,CZ,1,1.5684386376007322e-09
DAC,power,CZ,2,2.1864701914724882e-09
DAC,power,CZ,3,2.8683264542137046e-09
DAC,power,CZ,4,3.6540562194057437e-09
DAC,power,CZ,5,4.4868779596862625e-09
DAC,power,CZ,6,5.443571512994077e-09
DAC,power,CZ,7,6.572546864057015e-09
DAC,power,CZ,8,7.954122534007837e-09
DAC,power,CZ,9,9.690730613987228e-09
DAC,power,CZ,10,1.0937062404370208e-08
DAC,power,CZ,11,1.3114678391183716e-08
DAC,power,CZ,12,1.653657438114767e-08
DAC,power,CZ,13,2.299497435912475e-08
DAC,power,CZ,14,4.841406546709686e-08
DAC,power,DE,0,9.442252333672473e-10
DAC,power,DE,1,1.5643274376060333e-09
DAC,power,DE,2,2.177393610687519e-09
DAC,power,DE,3,2.8517697177951476e-09
DAC,power,DE,4,3.640059178401669e-09
DAC,power,DE,5,4.501612752026573e-09
DAC,power,DE,6,5.51615301235228e-09
DAC,power,DE,7,6.743595656650918e-09
DAC,power,DE,8,8.238472358084312e-09
DAC,power,DE,9,1.00744708464942e-08
DAC,power,DE,10,1.1366457642493353e-08
DAC,power,DE,11,1.3464984553890963e-08
DAC,power,DE,12,1.6778237829477547e-08
DAC,power,DE,13,2.3133378214834476e-08
DAC,power,DE,14,4.961138627422383e-08
DAC,power,DK,0,9.936804031700365e-10
DAC,power,DK,1,1.6523779659266096e-09
DAC,power,DK,2,2.2964617706504075e-09
DAC,power,DK,3,3.019805999556972e-09
DAC,power,DK,4,3.950567111337618e-09
DAC,power,DK,5,5.023104404830705e-09
DAC,power,DK,6,6.345813523330228e-09
DAC,power,DK,7,8.06505992054346e-09
DAC,power,DK,8,1.0304408492800548e-08
DAC,power,DK,9,1.3170789409034925e-08
DAC,power,DK,10,1.5759380106209353e-08
DAC,power,DK,11,1.917395139663434e-08
DAC,power,DK,12,2.55076787870083e-08
DAC,power,DK,13,5.399245024249013e-08
DAC,power,DK,14,0.022542028488892255
DAC,power,EE,0,9.867926499525166e-10
DAC,power,EE,1,1.6312749429836094e-09
DAC,power,EE,2,2.267290461270271e-09
DAC,power,EE,3,2.9827656596006427e-09
DAC,power,EE,4,3.891315117659268e-09
DAC,power,EE,5,4.9271417036091e-09
DAC,power,EE,6,6.194656750003497e-09
DAC,power,EE,7,7.820327744404946e-09
DAC,power,EE,8,9.929905157145857e-09
DAC,power,EE,9,1.2677335030462164e-08
DAC,power,EE,10,1.519329024325457e-08
DAC,power,EE,11,1.8741446728392158e-08
DAC,power,EE,12,2.4565458592683924e-08
DAC,power,EE,13,4.4607203037872146e-08
DAC,power,EE,14,1.982799921118179e-07
DAC,power,EL,0,9.973551564700093e-10
DAC,power,EL,1,1.6656405190137462e-09
DAC,power,EL,2,2.3125441129403664e-09
DAC,power,EL,3,3.040000166049129e-09
