location,year,Capacity in kW
AT,0,0.00
AT,1,0.01
AT,2,0.01
AT,3,0.01
AT,4,0.01
AT,5,0.01
AT,6,0.01
AT,7,0.02
AT,8,0.02
AT,9,0.02
AT,10,0.02
AT,11,0.03
AT,12,0.03
AT,13,0.04
AT,14,0.09
BE,0,0.00
BE,1,0.01
BE,2,0.01
BE,3,0.01
BE,4,0.01
BE,5,0.01
BE,6,0.01
BE,7,0.02
BE,8,0.02
BE,9,0.02
BE,10,0.02
BE,11,0.03
BE,12,0.03
BE,13,0.04
BE,14,0.09
BG,0,0.00
BG,1,0.01
BG,2,0.01
BG,3,0.01
BG,4,0.01
BG,5,0.01
BG,6,0.01
BG,7,0.02
BG,8,0.02
BG,9,0.02
BG,10,0.02
BG,11,0.03
BG,12,0.03
BG,13,0.04
BG,14,0.09
CH,0,0.00
CH,1,0.01
CH,2,0.01
CH,3,0.01
CH,4,0.01
CH,5,0.01
CH,6,0.01
CH,7,0.02
CH,8,0.02
CH,9,0.02
CH,10,0.02
CH,11,0.03
CH,12,0.03
CH,13,0.04
CH,14,0.09
CZ,0,0.00
CZ,1,0.01
CZ,2,0.01
CZ,3,0.01
CZ,4,0.01
CZ,5,0.01
CZ,6,0.01
CZ,7,0.02
CZ,8,0.02
CZ,9,0.02
CZ,10,0.02
CZ,11,0.03
CZ,12,0.03
CZ,13,0.04
CZ,14,0.09
DE,0,0.00
DE,1,0.01
DE,2,0.01
DE,3,0.01
DE,4,0.01
DE,5,0.01
DE,6,0.01
DE,7,0.02
DE,8,0.02
DE,9,0.02
DE,10,0.02
DE,11,0.03
DE,12,0.03
DE,13,0.04
DE,14,0.09
DK,0,0.00
DK,1,0.01
DK,2,0.01
DK,3,0.01
DK,4,0.01
DK,5,0.01
DK,6,0.02
DK,7,0.02
DK,8,0.02
DK,9,0.03
DK,10,0.03
DK,11,0.03
DK,12,0.04
DK,13,0.05
DK,14,0.09
EE,0,0.00
EE,1,0.01
EE,2,0.01
EE,3,0.01
EE,4,0.01
EE,5,0.01
EE,6,0.02
EE,7,0.02
EE,8,0.02
EE,9,0.03
EE,10,0.03
EE,11,0.03
EE,12,0.04
EE,13,0.05
EE,14,0.09
EL,0,0.00
EL,1,0.01
EL,2,0.01
EL,3,0.01
EL,4,0.01
EL,5,0.01
EL,6,0.02
EL,7,0.02
EL,8,0.02
EL,9,0.03
EL,10,0.03
EL,11,0.03
EL,12,0.04
EL,13,0.05
EL,14,0.09
ES,0,0.00
ES,1,0.01
ES,2,0.01
ES,3,0.01
ES,4,0.01
ES,5,0.01
ES,6,0.01
ES,7,0.02
ES,8,0.02
ES,9,0.02
ES,10,0.02
ES,11,0.03
ES,12,0.03
ES,13,0.05
ES,14,0.09
FI,0,0.00
FI,1,0.01
FI,2,0.01
FI,3,0.01
FI,4,0.01
FI,5,0.01
FI,6,0.02
FI,7,0.02
FI,8,0.02
FI,9,0.02
FI,10,0.03
FI,11,0.03
FI,12,0.04
FI,13,0.05
