technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DAC,power,AT,3.61E-10,5.99E-10,8.34E-10,1.09E-09,1.39E-09,1.71E-09,2.07E-09,2.50E-09,3.01E-09,3.66E-09,4.10E-09,4.89E-09,6.13E-09,8.43E-09,1.72E-08
DAC,power,BE,3.59E-10,5.93E-10,8.25E-10,1.08E-09,1.37E-09,1.68E-09,2.04E-09,2.46E-09,2.98E-09,3.63E-09,4.08E-09,4.88E-09,6.14E-09,8.50E-09,1.80E-08
DAC,power,BG,3.63E-10,6.01E-10,8.35E-10,1.09E-09,1.39E-09,1.70E-09,2.06E-09,2.49E-09,3.01E-09,3.65E-09,4.09E-09,4.88E-09,6.11E-09,8.39E-09,1.66E-08
DAC,power,CH,3.62E-10,6.00E-10,8.35E-10,1.09E-09,1.39E-09,1.71E-09,2.07E-09,2.50E-09,3.01E-09,3.65E-09,4.09E-09,4.88E-09,6.11E-09,8.39E-09,1.71E-08
DAC,power,CZ,3.59E-10,5.95E-10,8.28E-10,1.09E-09,1.38E-09,1.69E-09,2.05E-09,2.48E-09,2.99E-09,3.64E-09,4.10E-09,4.91E-09,6.17E-09,8.57E-09,1.77E-08
DAC,power,DE,3.59E-10,5.94E-10,8.27E-10,1.08E-09,1.38E-09,1.71E-09,2.09E-09,2.55E-09,3.11E-09,3.80E-09,4.28E-09,5.07E-09,6.31E-09,8.66E-09,1.81E-08
DAC,power,DK,3.78E-10,6.28E-10,8.73E-10,1.15E-09,1.50E-09,1.90E-09,2.40E-09,3.04E-09,3.88E-09,4.95E-09,5.91E-09,7.17E-09,9.51E-09,1.95E-08,0.022540612
DAC,power,EE,3.74E-10,6.18E-10,8.59E-10,1.13E-09,1.47E-09,1.86E-09,2.33E-09,2.93E-09,3.70E-09,4.68E-09,5.55E-09,6.80E-09,8.89E-09,1.59E-08,6.80E-08
DAC,power,EL,3.79E-10,6.33E-10,8.78E-10,1.15E-09,1.51E-09,1.91E-09,2.40E-09,3.03E-09,3.85E-09,4.91E-09,5.84E-09,7.07E-09,9.30E-09,1.73E-08,4.79E-08
DAC,power,ES,3.54E-10,5.89E-10,8.20E-10,1.07E-09,1.37E-09,1.69E-09,2.08E-09,2.54E-09,3.11E-09,3.82E-09,4.37E-09,5.26E-09,6.67E-09,9.56E-09,2.30E-08
