technology,capacity_type,location,year,none
DAC,power,AT,0,3.61328965191989e-10
DAC,power,AT,1,5.986222597586804e-10
DAC,power,AT,2,8.337282054865357e-10
DAC,power,AT,3,1.0930597404981224e-09
DAC,power,AT,4,1.391826484022431e-09
DAC,power,AT,5,1.7081696022828516e-09
DAC,power,AT,6,2.0709014215445953e-09
DAC,power,AT,7,2.498972771715958e-09
DAC,power,AT,8,3.0149205423900438e-09
DAC,power,AT,9,3.6578795982058912e-09
DAC,power,AT,10,4.102323528502942e-09
DAC,power,AT,11,4.893488665107038e-09
DAC,power,AT,12,6.125040300959419e-09
DAC,power,AT,13,8.428879029472477e-09
DAC,power,AT,14,1.7200970526936265e-08
DAC,power,BE,0,3.58594875110541e-10
DAC,power,BE,1,5.933664304480328e-10
DAC,power,BE,2,8.251653137260036e-10
DAC,power,BE,3,1.0794762663357038e-09
DAC,power,BE,4,1.3702761580468415e-09
DAC,power,BE,5,1.6824582468342498e-09
DAC,power,BE,6,2.0405581977111806e-09
DAC,power,BE,7,2.463990497058706e-09
DAC,power,BE,8,2.9806308479687444e-09
DAC,power,BE,9,3.6280292955095526e-09
DAC,power,BE,10,4.0834512063783566e-09
DAC,power,BE,11,4.884093785803922e-09
DAC,power,BE,12,6.136196588489205e-09
DAC,power,BE,13,8.502440510246882e-09
DAC,power,BE,14,1.8016517403500013e-08
DAC,power,BG,0,3.633027586460912e-10
DAC,power,BG,1,6.006261463316048e-10
DAC,power,BG,2,8.348354223657717e-10
DAC,power,BG,3,1.091053425761075e-09
DAC,power,BG,4,1.3872709954801451e-09
DAC,power,BG,5,1.7007886165246887e-09
DAC,power,BG,6,2.061172427813939e-09
DAC,power,BG,7,2.4925895865190366e-09
DAC,power,BG,8,3.011325485731921e-09
DAC,power,BG,9,3.6512656643188506e-09
DAC,power,BG,10,4.0923412682368956e-09
DAC,power,BG,11,4.883150242411669e-09
DAC,power,BG,12,6.110305648049818e-09
DAC,power,BG,13,8.389503944457795e-09
DAC,power,BG,14,1.659824163138968e-08
DAC,power,CH,0,3.618465036668635e-10
DAC,power,CH,1,5.996380806650771e-10
DAC,power,CH,2,8.34990891667297e-10
DAC,power,CH,3,1.0945324610747208e-09
DAC,power,CH,4,1.3932291749533064e-09
DAC,power,CH,5,1.7092212705377411e-09
DAC,power,CH,6,2.071136958728783e-09
DAC,power,CH,7,2.4977061467342496e-09
DAC,power,CH,8,3.0112243284629565e-09
DAC,power,CH,9,3.650475133610335e-09
DAC,power,CH,10,4.0900597102393575e-09
DAC,power,CH,11,4.8793483509666015e-09
DAC,power,CH,12,6.105437842380063e-09
DAC,power,CH,13,8.394986523725045e-09
DAC,power,CH,14,1.7124543983215962e-08
DAC,power,CZ,0,3.5906252532096074e-10
DAC,power,CZ,1,5.946943584991272e-10
DAC,power,CZ,2,8.281035939349146e-10
DAC,power,CZ,3,1.085108861028372e-09
DAC,power,CZ,4,1.380620260960745e-09
DAC,power,CZ,5,1.6938816268045382e-09
DAC,power,CZ,6,2.0533180927836357e-09
DAC,power,CZ,7,2.477023774286926e-09
DAC,power,CZ,8,2.994633551254606e-09
DAC,power,CZ,9,3.6436387161495807e-09
DAC,power,CZ,10,4.101620310271387e-09
DAC,power,CZ,11,4.907542897183715e-09
DAC,power,CZ,12,6.170404177610422e-09
DAC,power,CZ,13,8.565804824558447e-09
DAC,power,CZ,14,1.7695900874591776e-08
DAC,power,DE,0,3.5887692837494344e-10
DAC,power,DE,1,5.942756867019275e-10
DAC,power,DE,2,8.268044209148507e-10
