location,year,Capacity in kWh
AT,0,0.01
AT,1,0.02
AT,2,0.03
AT,3,0.03
AT,4,0.04
AT,5,0.05
AT,6,0.05
AT,7,0.06
AT,8,0.07
AT,9,0.08
AT,10,0.09
AT,11,0.1
AT,12,0.12
AT,13,0.16
AT,14,0.31
BE,0,0.01
BE,1,0.02
BE,2,0.03
BE,3,0.03
BE,4,0.04
BE,5,0.05
BE,6,0.05
BE,7,0.06
BE,8,0.07
BE,9,0.08
BE,10,0.09
BE,11,0.1
BE,12,0.12
BE,13,0.16
BE,14,0.31
BG,0,0.01
BG,1,0.02
BG,2,0.03
BG,3,0.03
BG,4,0.04
BG,5,0.05
BG,6,0.05
BG,7,0.06
BG,8,0.07
BG,9,0.08
BG,10,0.09
BG,11,0.1
BG,12,0.12
BG,13,0.16
BG,14,0.31
CH,0,0.01
CH,1,0.02
CH,2,0.03
CH,3,0.03
CH,4,0.04
CH,5,0.05
CH,6,0.05
CH,7,0.06
CH,8,0.07
CH,9,0.08
CH,10,0.09
CH,11,0.1
CH,12,0.12
CH,13,0.16
CH,14,0.31
CZ,0,0.01
CZ,1,0.02
CZ,2,0.03
CZ,3,0.03
CZ,4,0.04
CZ,5,0.05
CZ,6,0.05
CZ,7,0.06
CZ,8,0.07
CZ,9,0.08
CZ,10,0.09
CZ,11,0.1
CZ,12,0.12
CZ,13,0.16
CZ,14,0.31
DE,0,0.01
DE,1,0.02
DE,2,0.03
DE,3,0.03
DE,4,0.04
DE,5,0.05
DE,6,0.05
DE,7,0.06
DE,8,0.07
DE,9,0.08
DE,10,0.09
DE,11,0.1
DE,12,0.12
DE,13,0.16
DE,14,0.31
DK,0,0.01
DK,1,0.02
DK,2,0.03
DK,3,0.03
DK,4,0.04
DK,5,0.05
DK,6,0.05
DK,7,0.06
DK,8,0.07
DK,9,0.08
DK,10,0.09
DK,11,0.1
DK,12,0.12
DK,13,0.16
DK,14,0.31
EE,0,0.01
EE,1,0.02
EE,2,0.03
EE,3,0.03
